time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-17 10:33:9.342	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.029	0.010	0.000	0.000	0.000	-89.42	1.11	55.69	34.594	74.676	22.148	0.62512	-0.62524	-0.32248	0.33792	24.2	13111	30
2025-5-17 10:33:9.342	WTBenchPress#5(CEA7A127C8E8)	-0.019	-1.031	0.011	0.000	0.000	0.000	-89.42	1.11	55.69	34.594	74.676	22.148	0.62512	-0.62524	-0.32248	0.33792	24.2	13111	30
2025-5-17 10:33:9.369	WTBenchPress#5(CEA7A127C8E8)	-0.019	-1.029	0.010	0.000	0.000	0.000	-89.42	1.11	55.69	34.594	74.676	22.148	0.62512	-0.62524	-0.32248	0.33792	24.2	13111	30
2025-5-17 10:33:9.369	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.030	0.009	0.000	0.000	0.000	-89.42	1.11	55.69	34.594	74.676	22.148	0.62512	-0.62524	-0.32248	0.33792	24.2	13111	30
2025-5-17 10:33:9.399	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.009	0.000	0.000	0.000	-89.42	1.11	55.69	34.594	74.676	22.148	0.62512	-0.62524	-0.32248	0.33792	24.2	13111	30
2025-5-17 10:33:9.399	WTBenchPress#5(CEA7A127C8E8)	-0.019	-1.030	0.011	0.000	0.000	0.000	-89.42	1.11	55.69	34.594	74.676	22.148	0.62512	-0.62524	-0.32248	0.33792	24.2	13111	30
2025-5-17 10:33:9.457	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.012	0.000	0.000	0.000	-89.42	1.11	55.69	34.594	74.676	22.148	0.62512	-0.62524	-0.32248	0.33792	24.2	13111	30
2025-5-17 10:33:9.457	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.029	0.011	0.000	0.000	0.000	-89.42	1.11	55.69	34.594	74.676	22.148	0.62512	-0.62524	-0.32248	0.33792	24.2	13111	30
2025-5-17 10:33:9.488	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.009	0.000	0.000	0.000	-89.42	1.11	55.69	34.594	74.676	22.148	0.62512	-0.62524	-0.32248	0.33792	24.2	13111	30
2025-5-17 10:33:9.488	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.009	0.000	0.000	0.000	-89.42	1.11	55.69	34.594	74.676	22.148	0.62512	-0.62524	-0.32248	0.33792	24.2	13111	30
2025-5-17 10:33:9.518	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.030	0.011	0.000	0.000	0.000	-89.42	1.11	55.69	34.594	74.676	22.148	0.62512	-0.62524	-0.32248	0.33792	24.2	13111	30
2025-5-17 10:33:9.518	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.011	0.000	0.000	0.000	-89.42	1.11	55.69	34.594	74.676	22.148	0.62509	-0.62524	-0.32251	0.33792	24.2	13111	30
2025-5-17 10:33:9.608	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.029	0.010	0.000	0.000	0.000	-89.42	1.11	55.69	34.594	74.676	22.148	0.62509	-0.62524	-0.32251	0.33792	24.2	13111	30
2025-5-17 10:33:9.608	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.030	0.010	0.000	0.000	0.000	-89.42	1.11	55.69	34.594	74.676	22.148	0.62509	-0.62524	-0.32251	0.33792	24.2	13111	30
2025-5-17 10:33:9.610	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.009	0.000	0.000	0.000	-89.42	1.11	55.69	34.594	74.676	22.148	0.62509	-0.62524	-0.32251	0.33792	24.2	13111	30
2025-5-17 10:33:9.610	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.010	0.000	0.000	0.000	-89.42	1.11	55.69	34.594	74.676	22.148	0.62509	-0.62524	-0.32251	0.33792	24.2	13111	30
2025-5-17 10:33:9.642	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.010	0.000	0.000	0.000	-89.42	1.11	55.69	34.594	74.676	22.148	0.62509	-0.62524	-0.32251	0.33792	24.2	13111	30
2025-5-17 10:33:9.642	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.010	0.000	0.000	0.000	-89.42	1.11	55.69	34.594	74.676	22.148	0.62509	-0.62524	-0.32251	0.33792	24.2	13111	30
2025-5-17 10:33:9.699	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.011	0.000	0.000	0.000	-89.42	1.11	55.69	34.594	74.676	22.148	0.62509	-0.62524	-0.32251	0.33792	24.2	13111	30
2025-5-17 10:33:9.699	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.010	0.000	0.000	0.000	-89.42	1.11	55.69	34.594	74.676	22.148	0.62509	-0.62524	-0.32251	0.33792	24.2	13111	30
2025-5-17 10:33:9.728	WTBenchPress#5(CEA7A127C8E8)	-0.019	-1.031	0.010	0.000	0.000	0.000	-89.42	1.11	55.69	34.496	74.578	22.246	0.62509	-0.62524	-0.32251	0.33792	24.2	13111	30
2025-5-17 10:33:9.729	WTBenchPress#5(CEA7A127C8E8)	-0.019	-1.030	0.010	0.000	0.000	0.000	-89.42	1.11	55.69	34.496	74.578	22.246	0.62509	-0.62524	-0.32251	0.33792	24.2	13111	30
2025-5-17 10:33:9.758	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.009	0.000	0.000	0.000	-89.42	1.11	55.69	34.496	74.578	22.246	0.62509	-0.62524	-0.32251	0.33792	24.2	13111	30
2025-5-17 10:33:9.758	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.010	0.000	0.000	0.000	-89.42	1.11	55.69	34.496	74.578	22.246	0.62509	-0.62524	-0.32251	0.33792	24.2	13111	30
2025-5-17 10:33:9.818	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.011	0.000	0.000	0.000	-89.42	1.11	55.69	34.496	74.578	22.246	0.62509	-0.62524	-0.32251	0.33792	24.2	13111	30
2025-5-17 10:33:9.818	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.011	0.000	0.000	0.000	-89.42	1.11	55.69	34.496	74.578	22.246	0.62509	-0.62524	-0.32251	0.33792	24.2	13111	30
2025-5-17 10:33:9.847	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.011	0.000	0.000	0.000	-89.42	1.11	55.69	34.496	74.578	22.246	0.62509	-0.62524	-0.32251	0.33792	24.2	13111	30
2025-5-17 10:33:9.848	WTBenchPress#5(CEA7A127C8E8)	-0.019	-1.030	0.010	0.000	0.000	0.000	-89.42	1.11	55.69	34.496	74.578	22.246	0.62509	-0.62524	-0.32251	0.33792	24.2	13111	30
2025-5-17 10:33:9.879	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.010	0.000	0.000	0.000	-89.42	1.11	55.69	34.496	74.578	22.246	0.62509	-0.62524	-0.32251	0.33792	24.2	13111	30
2025-5-17 10:33:9.879	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.010	0.000	0.000	0.000	-89.42	1.11	55.69	34.496	74.578	22.246	0.62509	-0.62524	-0.32251	0.33792	24.2	13111	30
2025-5-17 10:33:9.941	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.010	0.000	0.000	0.000	-89.42	1.11	55.69	34.496	74.578	22.246	0.62509	-0.62524	-0.32251	0.33792	24.2	13111	30
2025-5-17 10:33:9.941	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.011	0.000	0.000	0.000	-89.42	1.11	55.69	34.496	74.578	22.246	0.62509	-0.62524	-0.32251	0.33792	24.2	13111	30
