time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-11 11:12:48.969	WTBenchPress#5(CEA7A127C8E8)	0.044	-1.023	0.095	0.610	-0.305	0.000	-85.97	-2.79	129.45	7.056	19.110	-7.938	0.32721	-0.27496	-0.62408	0.65402	24.3	13111	100
2025-5-11 11:12:48.969	WTBenchPress#5(CEA7A127C8E8)	0.044	-1.026	0.098	-0.488	-0.366	0.000	-85.96	-2.79	129.46	7.056	19.110	-7.938	0.32721	-0.27496	-0.62408	0.65402	24.3	13111	100
2025-5-11 11:12:48.970	WTBenchPress#5(CEA7A127C8E8)	0.044	-1.024	0.097	-1.587	-0.366	-0.305	-85.98	-2.79	129.46	7.056	19.110	-7.938	0.32721	-0.27496	-0.62408	0.65402	24.3	13111	100
2025-5-11 11:12:48.970	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.026	0.097	-2.319	-0.366	-0.244	-86.01	-2.79	129.47	7.056	19.110	-7.938	0.32721	-0.27496	-0.62408	0.65402	24.3	13111	100
2025-5-11 11:12:49.29	WTBenchPress#5(CEA7A127C8E8)	0.044	-1.026	0.094	-2.991	-0.366	-0.305	-86.06	-2.80	129.48	7.056	19.110	-7.938	0.32721	-0.27496	-0.62408	0.65402	24.3	13111	100
2025-5-11 11:12:49.30	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.022	0.094	-3.296	-0.366	-0.305	-86.11	-2.80	129.48	7.056	19.110	-7.938	0.32721	-0.27496	-0.62408	0.65402	24.3	13111	100
2025-5-11 11:12:49.60	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.017	0.091	-3.113	-0.366	-0.305	-86.15	-2.80	129.49	7.056	19.110	-7.938	0.32721	-0.27496	-0.62408	0.65402	24.3	13111	100
2025-5-11 11:12:49.61	WTBenchPress#5(CEA7A127C8E8)	0.046	-1.027	0.085	-2.136	-0.366	-0.244	-86.18	-2.80	129.50	7.056	19.110	-7.938	0.32721	-0.27496	-0.62408	0.65402	24.3	13111	100
2025-5-11 11:12:49.89	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.031	0.086	-1.221	-0.305	-0.244	-86.19	-2.80	129.50	7.056	19.110	-7.938	0.32721	-0.27496	-0.62408	0.65402	24.3	13111	100
2025-5-11 11:12:49.90	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.026	0.094	-0.671	-0.305	-0.122	-86.18	-2.80	129.50	7.056	18.914	-8.232	0.32721	-0.27496	-0.62408	0.65402	24.3	13111	100
2025-5-11 11:12:49.149	WTBenchPress#5(CEA7A127C8E8)	0.043	-1.022	0.099	-1.343	-0.305	-0.122	-86.19	-2.80	129.51	7.056	18.914	-8.232	0.32721	-0.27496	-0.62408	0.65402	24.3	13111	100
2025-5-11 11:12:49.150	WTBenchPress#5(CEA7A127C8E8)	0.043	-1.024	0.100	-2.991	-0.366	-0.244	-86.24	-2.80	129.51	7.056	18.914	-8.232	0.32721	-0.27496	-0.62408	0.65402	24.3	13111	100
2025-5-11 11:12:49.180	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.022	0.103	-4.944	-0.427	-0.366	-86.31	-2.81	129.51	7.056	18.914	-8.232	0.32721	-0.27496	-0.62408	0.65402	24.3	13111	100
