time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-11 12:1:27.61	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.007	0.198	0.793	-0.122	0.000	-78.46	-2.36	150.35	3.136	18.424	-10.584	0.21063	-0.14682	-0.61612	0.74457	29.7	13111	100
2025-5-11 12:1:27.61	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.007	0.199	0.610	-0.122	0.000	-78.45	-2.36	150.35	3.136	18.424	-10.584	0.21063	-0.14682	-0.61612	0.74457	29.7	13111	100
2025-5-11 12:1:27.122	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.199	0.488	-0.122	0.000	-78.45	-2.36	150.36	3.136	18.424	-10.584	0.21069	-0.14627	-0.61526	0.74536	29.7	13111	100
2025-5-11 12:1:27.122	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.007	0.199	0.366	-0.122	0.000	-78.45	-2.36	150.36	3.136	18.424	-10.584	0.21069	-0.14627	-0.61526	0.74536	29.7	13111	100
2025-5-11 12:1:27.123	WTBenchPress#5(CEA7A127C8E8)	0.043	-1.008	0.198	0.305	-0.061	0.000	-78.45	-2.36	150.36	3.136	18.424	-10.584	0.21069	-0.14627	-0.61526	0.74536	29.7	13111	100
2025-5-11 12:1:27.123	WTBenchPress#5(CEA7A127C8E8)	0.043	-1.008	0.198	0.305	-0.061	0.000	-78.44	-2.36	150.36	3.136	18.424	-10.584	0.21069	-0.14627	-0.61526	0.74536	29.7	13111	100
2025-5-11 12:1:27.181	WTBenchPress#5(CEA7A127C8E8)	0.043	-1.007	0.199	0.244	-0.061	0.000	-78.44	-2.36	150.36	3.136	18.424	-10.584	0.21069	-0.14627	-0.61526	0.74536	29.7	13111	100
2025-5-11 12:1:27.181	WTBenchPress#5(CEA7A127C8E8)	0.043	-1.007	0.199	0.183	-0.061	0.000	-78.45	-2.36	150.36	3.136	18.424	-10.584	0.21069	-0.14627	-0.61526	0.74536	29.7	13111	100
2025-5-11 12:1:27.212	WTBenchPress#5(CEA7A127C8E8)	0.043	-1.007	0.199	0.122	0.000	0.000	-78.45	-2.36	150.36	3.136	18.424	-10.584	0.21069	-0.14627	-0.61526	0.74536	29.7	13111	100
2025-5-11 12:1:27.212	WTBenchPress#5(CEA7A127C8E8)	0.043	-1.007	0.199	0.061	0.000	0.000	-78.45	-2.36	150.36	3.136	18.424	-10.584	0.21069	-0.14627	-0.61526	0.74536	29.7	13111	100
2025-5-11 12:1:27.241	WTBenchPress#5(CEA7A127C8E8)	0.043	-1.006	0.199	0.000	-0.061	0.000	-78.45	-2.36	150.36	3.136	18.424	-10.584	0.21069	-0.14627	-0.61526	0.74536	29.7	13111	100
2025-5-11 12:1:27.241	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.008	0.198	-0.061	0.000	0.000	-78.46	-2.36	150.35	3.038	18.228	-10.682	0.21069	-0.14627	-0.61526	0.74536	29.7	13111	100
