time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-11 11:10:30.58	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.023	0.093	0.244	-0.366	-0.183	-86.60	-2.89	133.30	6.174	17.934	-7.938	0.30408	-0.25244	-0.63391	0.66473	25.5	13111	100
2025-5-11 11:10:30.58	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.023	0.093	0.610	-0.366	-0.183	-86.57	-2.89	133.29	6.174	17.934	-7.938	0.30447	-0.25476	-0.63629	0.66135	25.5	13111	100
2025-5-11 11:10:30.88	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.024	0.094	0.977	-0.366	-0.183	-86.52	-2.89	133.28	6.174	17.934	-7.938	0.30447	-0.25476	-0.63629	0.66135	25.5	13111	100
2025-5-11 11:10:30.88	WTBenchPress#5(CEA7A127C8E8)	0.044	-1.023	0.093	1.343	-0.366	-0.122	-86.48	-2.89	133.26	6.174	17.934	-7.938	0.30447	-0.25476	-0.63629	0.66135	25.5	13111	100
2025-5-11 11:10:30.146	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.023	0.094	1.648	-0.366	-0.122	-86.42	-2.89	133.26	6.174	17.934	-7.938	0.30447	-0.25476	-0.63629	0.66135	25.5	13111	100
2025-5-11 11:10:30.146	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.023	0.095	1.831	-0.366	-0.122	-86.37	-2.89	133.25	6.174	17.934	-7.938	0.30447	-0.25476	-0.63629	0.66135	25.5	13111	100
2025-5-11 11:10:30.176	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.024	0.095	1.831	-0.366	-0.122	-86.31	-2.89	133.25	6.174	17.934	-7.938	0.30447	-0.25476	-0.63629	0.66135	25.5	13111	100
2025-5-11 11:10:30.176	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.023	0.096	1.770	-0.366	-0.061	-86.26	-2.88	133.26	6.174	17.934	-7.938	0.30447	-0.25476	-0.63629	0.66135	25.5	13111	100
2025-5-11 11:10:30.206	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.023	0.096	1.770	-0.427	-0.061	-86.21	-2.88	133.25	6.174	17.934	-7.938	0.30447	-0.25476	-0.63629	0.66135	25.5	13111	100
2025-5-11 11:10:30.207	WTBenchPress#5(CEA7A127C8E8)	0.046	-1.023	0.096	1.709	-0.427	-0.122	-86.15	-2.88	133.25	6.174	17.934	-7.938	0.30447	-0.25476	-0.63629	0.66135	25.5	13111	100
2025-5-11 11:10:30.266	WTBenchPress#5(CEA7A127C8E8)	0.046	-1.025	0.096	1.648	-0.427	-0.122	-86.11	-2.88	133.25	6.174	17.934	-7.938	0.30447	-0.25476	-0.63629	0.66135	25.5	13111	100
2025-5-11 11:10:30.266	WTBenchPress#5(CEA7A127C8E8)	0.046	-1.024	0.097	1.404	-0.427	-0.122	-86.06	-2.88	133.25	6.174	17.934	-7.938	0.30447	-0.25476	-0.63629	0.66135	25.5	13111	100
2025-5-11 11:10:30.298	WTBenchPress#5(CEA7A127C8E8)	0.046	-1.026	0.098	1.160	-0.427	-0.122	-86.01	-2.88	133.25	6.174	17.836	-8.134	0.30447	-0.25476	-0.63629	0.66135	25.5	13111	100
2025-5-11 11:10:30.299	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.024	0.097	0.732	-0.427	-0.122	-85.97	-2.88	133.25	6.174	17.836	-8.134	0.30447	-0.25476	-0.63629	0.66135	25.5	13111	100
2025-5-11 11:10:30.334	WTBenchPress#5(CEA7A127C8E8)	0.046	-1.022	0.099	0.427	-0.488	-0.122	-85.95	-2.88	133.26	6.174	17.836	-8.134	0.30447	-0.25476	-0.63629	0.66135	25.5	13111	100
2025-5-11 11:10:30.334	WTBenchPress#5(CEA7A127C8E8)	0.046	-1.023	0.096	0.122	-0.488	-0.183	-85.92	-2.88	133.27	6.174	17.836	-8.134	0.30447	-0.25476	-0.63629	0.66135	25.5	13111	100
2025-5-11 11:10:30.386	WTBenchPress#5(CEA7A127C8E8)	0.046	-1.025	0.096	-0.183	-0.427	-0.122	-85.91	-2.88	133.28	6.174	17.836	-8.134	0.30447	-0.25476	-0.63629	0.66135	25.5	13111	100
2025-5-11 11:10:30.386	WTBenchPress#5(CEA7A127C8E8)	0.046	-1.022	0.097	-0.305	-0.427	0.000	-85.90	-2.87	133.29	6.174	17.836	-8.134	0.30447	-0.25476	-0.63629	0.66135	25.5	13111	100
2025-5-11 11:10:30.418	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.023	0.098	-0.427	-0.488	0.000	-85.89	-2.87	133.30	6.174	17.836	-8.134	0.30447	-0.25476	-0.63629	0.66135	25.5	13111	100
2025-5-11 11:10:30.418	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.023	0.098	-0.793	-0.427	0.000	-85.89	-2.87	133.31	6.174	17.836	-8.134	0.30447	-0.25476	-0.63629	0.66135	25.5	13111	100
2025-5-11 11:10:30.448	WTBenchPress#5(CEA7A127C8E8)	0.046	-1.022	0.099	-1.404	-0.488	0.000	-85.89	-2.87	133.32	6.174	17.836	-8.134	0.30447	-0.25476	-0.63629	0.66135	25.5	13111	100
2025-5-11 11:10:30.449	WTBenchPress#5(CEA7A127C8E8)	0.046	-1.024	0.100	-2.075	-0.488	0.000	-85.90	-2.86	133.32	6.174	17.836	-8.134	0.30542	-0.25302	-0.63272	0.66501	25.5	13111	100
2025-5-11 11:10:30.506	WTBenchPress#5(CEA7A127C8E8)	0.046	-1.023	0.098	-2.747	-0.488	-0.305	-85.94	-2.86	133.34	6.174	17.836	-8.134	0.30542	-0.25302	-0.63272	0.66501	25.5	13111	100
2025-5-11 11:10:30.506	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.022	0.097	-3.113	-0.488	-0.244	-85.97	-2.86	133.34	6.174	17.836	-8.134	0.30542	-0.25302	-0.63272	0.66501	25.5	13111	100
2025-5-11 11:10:30.535	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.023	0.095	-3.235	-0.488	-0.305	-86.02	-2.87	133.35	6.174	17.836	-8.134	0.30542	-0.25302	-0.63272	0.66501	25.5	13111	100
2025-5-11 11:10:30.536	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.024	0.094	-3.113	-0.488	-0.305	-86.07	-2.87	133.35	6.174	17.836	-8.134	0.30542	-0.25302	-0.63272	0.66501	25.5	13111	100
2025-5-11 11:10:30.566	WTBenchPress#5(CEA7A127C8E8)	0.046	-1.023	0.093	-2.747	-0.427	-0.183	-86.11	-2.87	133.36	6.174	17.836	-8.134	0.30542	-0.25302	-0.63272	0.66501	25.5	13111	100
2025-5-11 11:10:30.566	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.025	0.095	-2.380	-0.488	-0.183	-86.14	-2.87	133.37	6.174	17.836	-8.134	0.30542	-0.25302	-0.63272	0.66501	25.5	13111	100
