time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-10 11:19:33.747	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.027	-0.086	0.732	0.061	0.000	-94.79	-1.10	89.87	12.054	47.530	4.116	0.48389	-0.51660	-0.52472	0.47278	21.8	13111	100
2025-5-10 11:19:33.747	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.087	0.671	0.061	0.000	-94.78	-1.10	89.87	12.054	47.530	4.116	0.48389	-0.51660	-0.52472	0.47278	21.8	13111	100
2025-5-10 11:19:33.781	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	0.732	0.061	0.000	-94.76	-1.10	89.87	12.054	47.530	4.116	0.48389	-0.51660	-0.52472	0.47278	21.8	13111	100
2025-5-10 11:19:33.782	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	0.793	0.061	0.000	-94.75	-1.10	89.87	12.250	47.530	4.018	0.48389	-0.51660	-0.52472	0.47278	21.8	13111	100
2025-5-10 11:19:33.880	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	0.854	0.061	0.000	-94.73	-1.10	89.86	12.250	47.530	4.018	0.48389	-0.51660	-0.52472	0.47278	21.8	13111	100
2025-5-10 11:19:33.880	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	0.854	0.122	0.000	-94.71	-1.10	89.86	12.250	47.530	4.018	0.48389	-0.51660	-0.52472	0.47278	21.8	13111	100
2025-5-10 11:19:33.880	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	0.732	0.122	0.000	-94.70	-1.10	89.86	12.250	47.530	4.018	0.48389	-0.51660	-0.52472	0.47278	21.8	13111	100
2025-5-10 11:19:33.880	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	0.793	0.061	0.000	-94.69	-1.10	89.86	12.250	47.530	4.018	0.48389	-0.51660	-0.52472	0.47278	21.8	13111	100
2025-5-10 11:19:33.895	WTBenchPress#5(CEA7A127C8E8)	0.019	-1.026	-0.086	0.732	0.061	0.000	-94.67	-1.10	89.86	12.250	47.530	4.018	0.48389	-0.51660	-0.52472	0.47278	21.8	13111	100
2025-5-10 11:19:33.896	WTBenchPress#5(CEA7A127C8E8)	0.019	-1.026	-0.086	0.610	0.061	0.000	-94.66	-1.10	89.86	12.250	47.530	4.018	0.48389	-0.51660	-0.52472	0.47278	21.8	13111	100
2025-5-10 11:19:33.956	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.085	0.610	0.061	0.000	-94.65	-1.10	89.86	12.250	47.530	4.018	0.48389	-0.51660	-0.52472	0.47278	21.8	13111	100
2025-5-10 11:19:33.956	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.027	-0.085	0.488	0.061	0.000	-94.65	-1.10	89.86	12.250	47.530	4.018	0.48389	-0.51660	-0.52472	0.47278	21.8	13111	100
2025-5-10 11:19:33.985	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	0.366	0.000	0.000	-94.64	-1.10	89.86	12.250	47.530	4.018	0.48489	-0.51578	-0.52377	0.47366	21.8	13111	100
2025-5-10 11:19:33.985	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.027	-0.086	0.366	0.000	0.000	-94.64	-1.10	89.86	12.250	47.530	4.018	0.48489	-0.51578	-0.52377	0.47366	21.8	13111	100
2025-5-10 11:19:34.17	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.027	-0.085	0.122	0.000	0.000	-94.63	-1.10	89.86	12.250	47.530	4.018	0.48489	-0.51578	-0.52377	0.47366	21.8	13111	100
2025-5-10 11:19:34.17	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.085	0.000	0.000	0.000	-94.63	-1.10	89.86	12.250	47.530	4.018	0.48489	-0.51578	-0.52377	0.47366	21.8	13111	100
2025-5-10 11:19:34.76	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.085	-0.061	0.000	0.000	-94.64	-1.10	89.86	12.250	47.530	4.018	0.48489	-0.51578	-0.52377	0.47366	21.8	13111	100
2025-5-10 11:19:34.76	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.085	-0.183	0.000	0.000	-94.64	-1.10	89.86	12.250	47.530	4.018	0.48489	-0.51578	-0.52377	0.47366	21.8	13111	100
2025-5-10 11:19:34.137	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	-0.305	0.000	0.000	-94.64	-1.10	89.86	12.250	47.530	4.018	0.48489	-0.51578	-0.52377	0.47366	21.8	13111	100
2025-5-10 11:19:34.137	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.085	-0.427	-0.061	0.000	-94.65	-1.10	89.86	12.250	47.530	4.018	0.48489	-0.51578	-0.52377	0.47366	21.8	13111	100
2025-5-10 11:19:34.138	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	-0.488	-0.061	0.000	-94.66	-1.10	89.86	12.250	47.530	4.018	0.48489	-0.51578	-0.52377	0.47366	21.8	13111	100
2025-5-10 11:19:34.138	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.085	-0.549	-0.061	0.000	-94.67	-1.10	89.86	12.250	47.530	4.018	0.48489	-0.51578	-0.52377	0.47366	21.8	13111	100
2025-5-10 11:19:34.226	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	-0.610	-0.061	0.000	-94.69	-1.10	89.86	12.152	47.726	4.018	0.48489	-0.51578	-0.52377	0.47366	21.8	13111	100
2025-5-10 11:19:34.226	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	-0.610	-0.061	0.000	-94.70	-1.10	89.86	12.152	47.726	4.018	0.48489	-0.51578	-0.52377	0.47366	21.8	13111	100
2025-5-10 11:19:34.229	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	-0.671	-0.061	0.000	-94.71	-1.10	89.86	12.152	47.726	4.018	0.48489	-0.51578	-0.52377	0.47366	21.8	13111	100
2025-5-10 11:19:34.229	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.085	-0.671	-0.061	0.000	-94.72	-1.10	89.86	12.152	47.726	4.018	0.48489	-0.51578	-0.52377	0.47366	21.8	13111	100
2025-5-10 11:19:34.258	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	-0.671	-0.061	0.000	-94.74	-1.10	89.87	12.152	47.726	4.018	0.48489	-0.51578	-0.52377	0.47366	21.8	13111	100
2025-5-10 11:19:34.258	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	-0.671	-0.061	0.000	-94.76	-1.10	89.87	12.152	47.726	4.018	0.48489	-0.51578	-0.52377	0.47366	21.8	13111	100
2025-5-10 11:19:34.315	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	-0.671	-0.061	0.000	-94.77	-1.10	89.87	12.152	47.726	4.018	0.48489	-0.51578	-0.52377	0.47366	21.8	13111	100
2025-5-10 11:19:34.315	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.085	-0.671	-0.061	0.000	-94.78	-1.10	89.87	12.152	47.726	4.018	0.48489	-0.51578	-0.52377	0.47366	21.8	13111	100
2025-5-10 11:19:34.380	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	-0.610	-0.061	0.000	-94.80	-1.10	89.87	12.152	47.726	4.018	0.48489	-0.51578	-0.52377	0.47366	21.8	13111	100
2025-5-10 11:19:34.380	WTBenchPress#5(CEA7A127C8E8)	0.019	-1.026	-0.087	-0.549	-0.061	0.000	-94.81	-1.10	89.87	12.152	47.726	4.018	0.48489	-0.51578	-0.52377	0.47366	21.8	13111	100
2025-5-10 11:19:34.380	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	-0.488	-0.061	0.000	-94.82	-1.10	89.87	12.152	47.726	4.018	0.48489	-0.51578	-0.52377	0.47366	21.8	13111	100
2025-5-10 11:19:34.380	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.087	-0.366	0.000	0.000	-94.83	-1.10	89.87	12.152	47.726	4.018	0.48398	-0.51651	-0.52463	0.47290	21.8	13111	100
2025-5-10 11:19:34.436	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.027	-0.086	-0.305	0.000	0.000	-94.83	-1.10	89.87	12.152	47.726	4.018	0.48398	-0.51651	-0.52463	0.47290	21.8	13111	100
2025-5-10 11:19:34.436	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.026	-0.086	-0.183	0.000	0.000	-94.84	-1.10	89.87	12.152	47.726	4.018	0.48398	-0.51651	-0.52463	0.47290	21.8	13111	100
2025-5-10 11:19:34.465	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	-0.122	0.000	0.000	-94.84	-1.10	89.87	12.152	47.726	4.018	0.48398	-0.51651	-0.52463	0.47290	21.8	13111	100
2025-5-10 11:19:34.465	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	-0.061	0.000	0.000	-94.84	-1.10	89.87	12.152	47.726	4.018	0.48398	-0.51651	-0.52463	0.47290	21.8	13111	100
2025-5-10 11:19:34.495	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	0.061	0.000	0.000	-94.84	-1.10	89.87	12.152	47.726	4.018	0.48398	-0.51651	-0.52463	0.47290	21.8	13111	100
2025-5-10 11:19:34.495	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.087	0.183	0.000	0.000	-94.84	-1.10	89.87	12.152	47.726	4.018	0.48398	-0.51651	-0.52463	0.47290	21.8	13111	100
2025-5-10 11:19:34.556	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	0.244	0.000	0.000	-94.83	-1.10	89.87	12.152	47.726	4.018	0.48398	-0.51651	-0.52463	0.47290	21.8	13111	100
2025-5-10 11:19:34.557	WTBenchPress#5(CEA7A127C8E8)	0.019	-1.026	-0.086	0.366	0.061	0.000	-94.83	-1.10	89.87	12.152	47.726	4.018	0.48398	-0.51651	-0.52463	0.47290	21.8	13111	100
2025-5-10 11:19:34.585	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	0.488	0.061	0.000	-94.82	-1.10	89.87	12.152	47.726	4.018	0.48398	-0.51651	-0.52463	0.47290	21.8	13111	100
2025-5-10 11:19:34.585	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	0.549	0.061	0.000	-94.81	-1.10	89.87	12.152	47.628	4.214	0.48398	-0.51651	-0.52463	0.47290	21.8	13111	100
2025-5-10 11:19:34.616	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	0.610	0.061	0.000	-94.80	-1.10	89.87	12.152	47.628	4.214	0.48398	-0.51651	-0.52463	0.47290	21.8	13111	100
2025-5-10 11:19:34.616	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.027	-0.086	0.671	0.061	0.000	-94.78	-1.10	89.87	12.152	47.628	4.214	0.48398	-0.51651	-0.52463	0.47290	21.8	13111	100
2025-5-10 11:19:34.691	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	0.732	0.061	0.000	-94.77	-1.10	89.87	12.152	47.628	4.214	0.48398	-0.51651	-0.52463	0.47290	21.8	13111	100
2025-5-10 11:19:34.691	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	0.732	0.061	0.000	-94.76	-1.10	89.87	12.152	47.628	4.214	0.48398	-0.51651	-0.52463	0.47290	21.8	13111	100
2025-5-10 11:19:34.705	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	0.732	0.061	0.000	-94.74	-1.10	89.87	12.152	47.628	4.214	0.48398	-0.51651	-0.52463	0.47290	21.8	13111	100
2025-5-10 11:19:34.705	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	0.793	0.122	0.000	-94.73	-1.10	89.87	12.152	47.628	4.214	0.48398	-0.51651	-0.52463	0.47290	21.8	13111	100
2025-5-10 11:19:34.738	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	0.793	0.061	0.000	-94.71	-1.10	89.86	12.152	47.628	4.214	0.48398	-0.51651	-0.52463	0.47290	21.8	13111	100
2025-5-10 11:19:34.738	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	0.732	0.061	0.000	-94.70	-1.10	89.86	12.152	47.628	4.214	0.48398	-0.51651	-0.52463	0.47290	21.8	13111	100
2025-5-10 11:19:34.796	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.085	0.671	0.061	0.000	-94.69	-1.10	89.86	12.152	47.628	4.214	0.48398	-0.51651	-0.52463	0.47290	21.8	13111	100
2025-5-10 11:19:34.796	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.085	0.671	0.061	0.000	-94.67	-1.10	89.86	12.152	47.628	4.214	0.48398	-0.51651	-0.52463	0.47290	21.8	13111	100
2025-5-10 11:19:34.825	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.085	0.610	0.061	0.000	-94.66	-1.10	89.86	12.152	47.628	4.214	0.48477	-0.51587	-0.52390	0.47357	21.8	13111	100
2025-5-10 11:19:34.825	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	0.488	0.000	0.000	-94.65	-1.10	89.86	12.152	47.628	4.214	0.48477	-0.51587	-0.52390	0.47357	21.8	13111	100
2025-5-10 11:19:34.890	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.085	0.427	0.000	0.000	-94.65	-1.10	89.86	12.152	47.628	4.214	0.48477	-0.51587	-0.52390	0.47357	21.8	13111	100
2025-5-10 11:19:34.890	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.027	-0.086	0.366	0.000	0.000	-94.64	-1.10	89.86	12.152	47.628	4.214	0.48477	-0.51587	-0.52390	0.47357	21.8	13111	100
2025-5-10 11:19:34.915	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.086	0.183	0.000	0.000	-94.64	-1.10	89.86	12.152	47.628	4.214	0.48477	-0.51587	-0.52390	0.47357	21.8	13111	100
2025-5-10 11:19:34.915	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.026	-0.085	0.183	0.000	0.000	-94.64	-1.10	89.86	12.152	47.628	4.214	0.48477	-0.51587	-0.52390	0.47357	21.8	13111	100
2025-5-10 11:19:34.947	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.028	-0.086	0.061	0.000	0.000	-94.64	-1.10	89.86	12.152	47.628	4.214	0.48477	-0.51587	-0.52390	0.47357	21.8	13111	100
2025-5-10 11:19:34.948	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.025	-0.086	0.000	0.000	0.000	-94.64	-1.10	89.86	12.152	47.628	4.214	0.48477	-0.51587	-0.52390	0.47357	21.8	13111	100
2025-5-10 11:19:35.36	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.025	-0.085	-0.061	0.000	0.000	-94.64	-1.10	89.86	12.152	47.432	4.116	0.48477	-0.51587	-0.52390	0.47357	21.8	13111	100
2025-5-10 11:19:35.36	WTBenchPress#5(CEA7A127C8E8)	0.016	-1.026	-0.088	-0.061	0.000	0.000	-94.64	-1.10	89.86	12.152	47.432	4.116	0.48477	-0.51587	-0.52390	0.47357	21.8	13111	100
2025-5-10 11:19:35.37	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.008	-0.072	-0.244	-0.061	0.000	-94.65	-1.10	89.86	12.152	47.432	4.116	0.48477	-0.51587	-0.52390	0.47357	21.8	13111	100
2025-5-10 11:19:35.37	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.028	-0.092	-0.488	-0.061	0.000	-94.66	-1.10	89.86	12.152	47.432	4.116	0.48477	-0.51587	-0.52390	0.47357	21.8	13111	100
2025-5-10 11:19:35.69	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.046	-0.092	-0.305	-0.061	0.000	-94.66	-1.10	89.86	12.152	47.432	4.116	0.48477	-0.51587	-0.52390	0.47357	21.8	13111	100
2025-5-10 11:19:35.69	WTBenchPress#5(CEA7A127C8E8)	0.017	-1.021	-0.081	-1.648	0.000	0.000	-94.69	-1.10	89.86	12.152	47.432	4.116	0.48477	-0.51587	-0.52390	0.47357	21.8	13111	100
