time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-10 11:6:48.345	WTBenchPress#5(CEA7A127C8E8)	0.018	-1.029	-0.054	-3.052	-0.427	0.000	-92.65	-1.01	84.72	11.074	45.080	3.136	0.51544	-0.53125	-0.49078	0.45944	23.4	13111	100
2025-5-10 11:6:48.346	WTBenchPress#5(CEA7A127C8E8)	0.018	-1.029	-0.054	-3.296	-0.488	0.000	-92.72	-1.01	84.74	11.074	45.080	3.136	0.51544	-0.53125	-0.49078	0.45944	23.4	13111	100
2025-5-10 11:6:48.378	WTBenchPress#5(CEA7A127C8E8)	0.018	-1.027	-0.053	-3.601	-0.488	0.000	-92.80	-1.01	84.75	11.074	45.080	3.136	0.51544	-0.53125	-0.49078	0.45944	23.4	13111	100
2025-5-10 11:6:48.378	WTBenchPress#5(CEA7A127C8E8)	0.018	-1.027	-0.054	-3.784	-0.488	0.000	-92.87	-1.01	84.77	11.074	45.080	3.136	0.51544	-0.53125	-0.49078	0.45944	23.4	13111	100
2025-5-10 11:6:48.409	WTBenchPress#5(CEA7A127C8E8)	0.018	-1.028	-0.054	-3.845	-0.488	0.000	-92.95	-1.01	84.78	11.074	45.080	3.136	0.51544	-0.53125	-0.49078	0.45944	23.4	13111	100
2025-5-10 11:6:48.409	WTBenchPress#5(CEA7A127C8E8)	0.018	-1.029	-0.054	-4.028	-0.427	0.000	-93.03	-1.01	84.79	11.074	45.080	3.136	0.51236	-0.53177	-0.49374	0.45914	23.4	13111	100
2025-5-10 11:6:48.467	WTBenchPress#5(CEA7A127C8E8)	0.018	-1.029	-0.053	-4.211	-0.427	0.000	-93.11	-1.01	84.80	11.074	45.080	3.136	0.51236	-0.53177	-0.49374	0.45914	23.4	13111	100
2025-5-10 11:6:48.467	WTBenchPress#5(CEA7A127C8E8)	0.018	-1.027	-0.054	-4.395	-0.366	0.000	-93.20	-1.01	84.80	11.074	45.080	3.136	0.51236	-0.53177	-0.49374	0.45914	23.4	13111	100
2025-5-10 11:6:48.501	WTBenchPress#5(CEA7A127C8E8)	0.018	-1.027	-0.056	-4.150	-0.366	0.000	-93.28	-1.01	84.80	11.074	45.080	3.136	0.51236	-0.53177	-0.49374	0.45914	23.4	13111	100
2025-5-10 11:6:48.501	WTBenchPress#5(CEA7A127C8E8)	0.018	-1.028	-0.057	-3.601	-0.244	0.000	-93.35	-1.01	84.79	11.074	45.080	3.136	0.51236	-0.53177	-0.49374	0.45914	23.4	13111	100
2025-5-10 11:6:48.525	WTBenchPress#5(CEA7A127C8E8)	0.017	-1.028	-0.055	-2.930	-0.244	0.000	-93.41	-1.01	84.78	11.074	45.080	3.136	0.51236	-0.53177	-0.49374	0.45914	23.4	13111	100
2025-5-10 11:6:48.525	WTBenchPress#5(CEA7A127C8E8)	0.018	-1.030	-0.055	-2.686	-0.122	0.000	-93.46	-1.01	84.78	11.074	45.080	3.136	0.51236	-0.53177	-0.49374	0.45914	23.4	13111	100
