time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-10 11:4:27.343	WTBenchPress#5(CEA7A127C8E8)	0.022	-1.028	-0.072	-3.845	0.366	-0.122	-93.43	-1.74	85.30	10.290	44.002	3.136	0.50058	-0.54068	-0.50867	0.44522	24.4	13111	100
2025-5-10 11:4:27.343	WTBenchPress#5(CEA7A127C8E8)	0.022	-1.029	-0.071	-4.822	0.244	0.000	-93.53	-1.73	85.35	10.290	44.002	3.136	0.50058	-0.54068	-0.50867	0.44522	24.4	13111	100
2025-5-10 11:4:27.405	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.028	-0.067	-7.996	0.061	0.183	-93.66	-1.72	85.41	10.290	44.002	3.136	0.50058	-0.54068	-0.50867	0.44522	24.4	13111	100
2025-5-10 11:4:27.405	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.026	-0.065	-10.010	-0.061	0.244	-93.84	-1.71	85.47	10.290	44.002	3.136	0.50058	-0.54068	-0.50867	0.44522	24.4	13111	100
2025-5-10 11:4:27.437	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.027	-0.065	-12.451	-0.122	0.366	-94.05	-1.70	85.52	10.290	44.002	3.136	0.50745	-0.53043	-0.50439	0.45453	24.4	13111	100
2025-5-10 11:4:27.437	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.026	-0.067	-14.526	-0.244	0.366	-94.30	-1.69	85.56	10.290	44.002	3.136	0.50745	-0.53043	-0.50439	0.45453	24.4	13111	100
2025-5-10 11:4:27.465	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.028	-0.071	-16.113	-0.366	0.366	-94.59	-1.68	85.60	10.290	44.002	3.136	0.50745	-0.53043	-0.50439	0.45453	24.4	13111	100
2025-5-10 11:4:27.465	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.028	-0.075	-16.907	-0.488	0.427	-94.91	-1.66	85.63	10.290	44.002	3.136	0.50745	-0.53043	-0.50439	0.45453	24.4	13111	100
2025-5-10 11:4:27.524	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.028	-0.081	-16.724	-0.610	0.427	-95.23	-1.65	85.66	10.290	44.002	3.136	0.50745	-0.53043	-0.50439	0.45453	24.4	13111	100
2025-5-10 11:4:27.524	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.028	-0.083	-15.625	-0.671	0.427	-95.54	-1.63	85.69	10.290	44.002	3.136	0.50745	-0.53043	-0.50439	0.45453	24.4	13111	100
2025-5-10 11:4:27.554	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.027	-0.082	-14.587	-0.793	0.366	-95.83	-1.62	85.72	10.290	44.002	3.136	0.50745	-0.53043	-0.50439	0.45453	24.4	13111	100
2025-5-10 11:4:27.554	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.026	-0.082	-13.611	-0.854	0.305	-96.09	-1.60	85.75	10.290	44.002	3.136	0.50745	-0.53043	-0.50439	0.45453	24.4	13111	100
2025-5-10 11:4:27.593	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.027	-0.076	-13.184	-0.977	0.244	-96.34	-1.59	85.76	10.290	44.002	3.136	0.50745	-0.53043	-0.50439	0.45453	24.4	13111	100
2025-5-10 11:4:27.593	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.026	-0.074	-13.733	-1.038	0.122	-96.58	-1.58	85.78	10.290	44.002	3.136	0.50745	-0.53043	-0.50439	0.45453	24.4	13111	100
2025-5-10 11:4:27.646	WTBenchPress#5(CEA7A127C8E8)	0.022	-1.024	-0.075	-14.160	-1.099	0.061	-96.83	-1.57	85.79	10.388	44.394	4.508	0.50745	-0.53043	-0.50439	0.45453	24.4	13111	100
2025-5-10 11:4:27.646	WTBenchPress#5(CEA7A127C8E8)	0.023	-1.026	-0.076	-14.526	-1.221	0.000	-97.08	-1.56	85.79	10.388	44.394	4.508	0.50745	-0.53043	-0.50439	0.45453	24.4	13111	100
2025-5-10 11:4:27.675	WTBenchPress#5(CEA7A127C8E8)	0.024	-1.028	-0.081	-14.465	-1.343	0.061	-97.33	-1.55	85.78	10.388	44.394	4.508	0.50745	-0.53043	-0.50439	0.45453	24.4	13111	100
2025-5-10 11:4:27.675	WTBenchPress#5(CEA7A127C8E8)	0.024	-1.028	-0.084	-13.306	-1.404	0.061	-97.58	-1.55	85.77	10.388	44.394	4.508	0.50745	-0.53043	-0.50439	0.45453	24.4	13111	100
2025-5-10 11:4:27.707	WTBenchPress#5(CEA7A127C8E8)	0.025	-1.025	-0.089	-11.230	-1.526	0.061	-97.79	-1.54	85.76	10.388	44.394	4.508	0.50745	-0.53043	-0.50439	0.45453	24.4	13111	100
2025-5-10 11:4:27.707	WTBenchPress#5(CEA7A127C8E8)	0.025	-1.024	-0.091	-8.362	-1.526	0.000	-97.97	-1.53	85.75	10.388	44.394	4.508	0.50745	-0.53043	-0.50439	0.45453	24.4	13111	100
2025-5-10 11:4:27.764	WTBenchPress#5(CEA7A127C8E8)	0.025	-1.024	-0.090	-5.371	-1.587	-0.061	-98.07	-1.53	85.74	10.388	44.394	4.508	0.50745	-0.53043	-0.50439	0.45453	24.4	13111	100
2025-5-10 11:4:27.764	WTBenchPress#5(CEA7A127C8E8)	0.026	-1.023	-0.087	-2.808	-1.648	-0.183	-98.13	-1.52	85.73	10.388	44.394	4.508	0.50745	-0.53043	-0.50439	0.45453	24.4	13111	100
2025-5-10 11:4:27.796	WTBenchPress#5(CEA7A127C8E8)	0.027	-1.024	-0.084	-0.854	-1.648	-0.244	-98.14	-1.52	85.72	10.388	44.394	4.508	0.50745	-0.53043	-0.50439	0.45453	24.4	13111	100
2025-5-10 11:4:27.797	WTBenchPress#5(CEA7A127C8E8)	0.026	-1.024	-0.080	0.427	-1.709	-0.305	-98.10	-1.52	85.69	10.388	44.394	4.508	0.50745	-0.53043	-0.50439	0.45453	24.4	13111	100
2025-5-10 11:4:27.826	WTBenchPress#5(CEA7A127C8E8)	0.027	-1.025	-0.080	1.221	-1.770	-0.305	-98.04	-1.52	85.67	10.388	44.394	4.508	0.50745	-0.53043	-0.50439	0.45453	24.4	13111	100
2025-5-10 11:4:27.827	WTBenchPress#5(CEA7A127C8E8)	0.026	-1.024	-0.080	2.075	-1.770	-0.366	-97.97	-1.53	85.65	10.388	44.394	4.508	0.48819	-0.54733	-0.51917	0.43872	24.4	13111	100
2025-5-10 11:4:27.895	WTBenchPress#5(CEA7A127C8E8)	0.025	-1.024	-0.083	3.235	-1.831	-0.366	-97.88	-1.53	85.63	10.388	44.394	4.508	0.48819	-0.54733	-0.51917	0.43872	24.4	13111	100
2025-5-10 11:4:27.895	WTBenchPress#5(CEA7A127C8E8)	0.026	-1.023	-0.084	5.005	-1.770	-0.488	-97.76	-1.53	85.61	10.388	44.394	4.508	0.48819	-0.54733	-0.51917	0.43872	24.4	13111	100
2025-5-10 11:4:27.913	WTBenchPress#5(CEA7A127C8E8)	0.026	-1.024	-0.085	7.019	-1.770	-0.610	-97.60	-1.54	85.58	10.388	44.394	4.508	0.48819	-0.54733	-0.51917	0.43872	24.4	13111	100
2025-5-10 11:4:27.913	WTBenchPress#5(CEA7A127C8E8)	0.025	-1.025	-0.086	9.216	-1.709	-0.671	-97.40	-1.54	85.57	10.388	44.394	4.508	0.48819	-0.54733	-0.51917	0.43872	24.4	13111	100
2025-5-10 11:4:27.944	WTBenchPress#5(CEA7A127C8E8)	0.025	-1.026	-0.084	11.353	-1.709	-0.671	-97.17	-1.55	85.56	10.388	44.394	4.508	0.48819	-0.54733	-0.51917	0.43872	24.4	13111	100
2025-5-10 11:4:27.944	WTBenchPress#5(CEA7A127C8E8)	0.024	-1.027	-0.080	12.756	-1.648	-0.671	-96.90	-1.56	85.56	10.388	44.394	4.508	0.48819	-0.54733	-0.51917	0.43872	24.4	13111	100
2025-5-10 11:4:28.6	WTBenchPress#5(CEA7A127C8E8)	0.023	-1.026	-0.076	13.245	-1.587	-0.671	-96.62	-1.57	85.55	10.388	44.394	4.508	0.48819	-0.54733	-0.51917	0.43872	24.4	13111	100
2025-5-10 11:4:28.6	WTBenchPress#5(CEA7A127C8E8)	0.023	-1.025	-0.073	13.184	-1.526	-0.732	-96.33	-1.58	85.55	10.388	44.394	4.508	0.48819	-0.54733	-0.51917	0.43872	24.4	13111	100
2025-5-10 11:4:28.96	WTBenchPress#5(CEA7A127C8E8)	0.023	-1.026	-0.071	12.817	-1.465	-0.793	-96.05	-1.59	85.55	10.388	44.394	4.508	0.48819	-0.54733	-0.51917	0.43872	24.4	13111	100
