time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-10 11:2:20.353	WTBenchPress#5(CEA7A127C8E8)	0.029	-1.029	-0.042	1.831	0.000	0.000	-93.85	-1.71	82.38	9.604	42.924	3.528	0.52069	-0.54300	-0.48904	0.44131	24.8	13111	100
2025-5-10 11:2:20.354	WTBenchPress#5(CEA7A127C8E8)	0.030	-1.029	-0.041	1.892	0.000	0.000	-93.80	-1.71	82.36	9.604	42.924	3.528	0.52069	-0.54300	-0.48904	0.44131	24.8	13111	100
2025-5-10 11:2:20.383	WTBenchPress#5(CEA7A127C8E8)	0.030	-1.029	-0.041	1.831	-0.061	0.000	-93.74	-1.71	82.35	9.604	42.924	3.528	0.52069	-0.54300	-0.48904	0.44131	24.8	13111	100
2025-5-10 11:2:20.383	WTBenchPress#5(CEA7A127C8E8)	0.030	-1.029	-0.041	1.770	0.000	0.000	-93.69	-1.71	82.34	9.604	42.924	3.528	0.52069	-0.54300	-0.48904	0.44131	24.8	13111	100
2025-5-10 11:2:20.442	WTBenchPress#5(CEA7A127C8E8)	0.031	-1.028	-0.040	1.587	-0.061	0.000	-93.64	-1.71	82.34	9.604	42.924	3.528	0.52069	-0.54300	-0.48904	0.44131	24.8	13111	100
2025-5-10 11:2:20.443	WTBenchPress#5(CEA7A127C8E8)	0.031	-1.029	-0.040	1.404	-0.061	0.000	-93.60	-1.71	82.33	9.604	42.924	3.528	0.52069	-0.54300	-0.48904	0.44131	24.8	13111	100
2025-5-10 11:2:20.474	WTBenchPress#5(CEA7A127C8E8)	0.031	-1.029	-0.040	1.160	-0.122	0.000	-93.56	-1.71	82.33	9.604	42.924	3.528	0.52069	-0.54300	-0.48904	0.44131	24.8	13111	100
2025-5-10 11:2:20.474	WTBenchPress#5(CEA7A127C8E8)	0.031	-1.029	-0.041	0.977	-0.122	0.000	-93.52	-1.71	82.33	9.604	42.924	3.528	0.52069	-0.54300	-0.48904	0.44131	24.8	13111	100
2025-5-10 11:2:20.505	WTBenchPress#5(CEA7A127C8E8)	0.031	-1.029	-0.041	0.793	-0.183	0.000	-93.49	-1.70	82.34	9.604	42.924	3.528	0.52069	-0.54300	-0.48904	0.44131	24.8	13111	100
2025-5-10 11:2:20.505	WTBenchPress#5(CEA7A127C8E8)	0.031	-1.029	-0.040	0.549	-0.244	0.000	-93.47	-1.70	82.34	9.604	42.924	3.136	0.52069	-0.54300	-0.48904	0.44131	24.8	13111	100
2025-5-10 11:2:20.534	WTBenchPress#5(CEA7A127C8E8)	0.030	-1.029	-0.040	0.244	-0.244	0.000	-93.45	-1.70	82.35	9.604	42.924	3.136	0.52069	-0.54300	-0.48904	0.44131	24.8	13111	100
2025-5-10 11:2:20.534	WTBenchPress#5(CEA7A127C8E8)	0.031	-1.029	-0.040	-0.122	-0.305	0.000	-93.43	-1.70	82.36	9.604	42.924	3.136	0.52069	-0.54300	-0.48904	0.44131	24.8	13111	100
2025-5-10 11:2:20.603	WTBenchPress#5(CEA7A127C8E8)	0.030	-1.029	-0.040	-0.488	-0.366	0.000	-93.43	-1.70	82.38	9.604	42.924	3.136	0.52069	-0.54300	-0.48904	0.44131	24.8	13111	100
2025-5-10 11:2:20.603	WTBenchPress#5(CEA7A127C8E8)	0.029	-1.029	-0.039	-0.854	-0.427	0.000	-93.43	-1.70	82.39	9.604	42.924	3.136	0.52069	-0.54300	-0.48904	0.44131	24.8	13111	100
2025-5-10 11:2:20.624	WTBenchPress#5(CEA7A127C8E8)	0.028	-1.029	-0.040	-1.221	-0.427	0.000	-93.44	-1.70	82.40	9.604	42.924	3.136	0.52069	-0.54300	-0.48904	0.44131	24.8	13111	100
2025-5-10 11:2:20.624	WTBenchPress#5(CEA7A127C8E8)	0.028	-1.029	-0.040	-1.831	-0.549	0.000	-93.46	-1.70	82.42	9.604	42.924	3.136	0.52069	-0.54300	-0.48904	0.44131	24.8	13111	100
2025-5-10 11:2:20.654	WTBenchPress#5(CEA7A127C8E8)	0.027	-1.029	-0.040	-2.075	-0.549	0.000	-93.48	-1.70	82.44	9.604	42.924	3.136	0.52069	-0.54300	-0.48904	0.44131	24.8	13111	100
2025-5-10 11:2:20.654	WTBenchPress#5(CEA7A127C8E8)	0.027	-1.029	-0.040	-2.319	-0.610	0.000	-93.51	-1.70	82.45	9.604	42.924	3.136	0.52069	-0.54300	-0.48904	0.44131	24.8	13111	100
2025-5-10 11:2:20.713	WTBenchPress#5(CEA7A127C8E8)	0.026	-1.029	-0.040	-2.625	-0.671	0.000	-93.54	-1.70	82.46	9.604	42.924	3.136	0.52069	-0.54300	-0.48904	0.44131	24.8	13111	100
2025-5-10 11:2:20.713	WTBenchPress#5(CEA7A127C8E8)	0.026	-1.029	-0.040	-2.930	-0.671	0.000	-93.58	-1.69	82.47	9.604	42.924	3.136	0.52069	-0.54300	-0.48904	0.44131	24.8	13111	100
2025-5-10 11:2:20.776	WTBenchPress#5(CEA7A127C8E8)	0.025	-1.028	-0.040	-3.174	-0.732	0.000	-93.63	-1.69	82.48	9.604	42.924	3.136	0.52161	-0.54150	-0.48819	0.44296	24.8	13111	100
2025-5-10 11:2:20.777	WTBenchPress#5(CEA7A127C8E8)	0.026	-1.029	-0.040	-3.418	-0.732	0.000	-93.67	-1.69	82.49	9.604	42.924	3.136	0.52161	-0.54150	-0.48819	0.44296	24.8	13111	100
2025-5-10 11:2:20.833	WTBenchPress#5(CEA7A127C8E8)	0.025	-1.029	-0.041	-3.418	-0.793	0.000	-93.72	-1.69	82.50	9.604	42.924	3.136	0.52161	-0.54150	-0.48819	0.44296	24.8	13111	100
2025-5-10 11:2:20.833	WTBenchPress#5(CEA7A127C8E8)	0.025	-1.029	-0.042	-3.479	-0.793	0.000	-93.77	-1.68	82.51	9.604	42.924	3.136	0.52161	-0.54150	-0.48819	0.44296	24.8	13111	100
2025-5-10 11:2:20.834	WTBenchPress#5(CEA7A127C8E8)	0.026	-1.029	-0.042	-3.418	-0.793	0.000	-93.83	-1.68	82.52	9.604	42.924	3.136	0.52161	-0.54150	-0.48819	0.44296	24.8	13111	100
2025-5-10 11:2:20.834	WTBenchPress#5(CEA7A127C8E8)	0.026	-1.029	-0.042	-3.357	-0.793	0.000	-93.88	-1.68	82.53	9.604	42.924	3.136	0.52161	-0.54150	-0.48819	0.44296	24.8	13111	100
2025-5-10 11:2:20.864	WTBenchPress#5(CEA7A127C8E8)	0.026	-1.029	-0.042	-3.296	-0.793	0.000	-93.92	-1.68	82.54	9.604	42.924	3.136	0.52161	-0.54150	-0.48819	0.44296	24.8	13111	100
2025-5-10 11:2:20.864	WTBenchPress#5(CEA7A127C8E8)	0.026	-1.029	-0.042	-3.174	-0.793	0.000	-93.97	-1.67	82.55	9.604	42.924	3.136	0.52161	-0.54150	-0.48819	0.44296	24.8	13111	100
2025-5-10 11:2:20.922	WTBenchPress#5(CEA7A127C8E8)	0.027	-1.028	-0.042	-3.052	-0.793	0.000	-94.01	-1.66	82.55	9.604	42.924	3.332	0.52161	-0.54150	-0.48819	0.44296	24.8	13111	100
2025-5-10 11:2:20.923	WTBenchPress#5(CEA7A127C8E8)	0.027	-1.029	-0.042	-2.869	-0.793	0.000	-94.05	-1.66	82.55	9.604	42.924	3.332	0.52161	-0.54150	-0.48819	0.44296	24.8	13111	100
2025-5-10 11:2:20.954	WTBenchPress#5(CEA7A127C8E8)	0.028	-1.029	-0.042	-2.625	-0.732	0.000	-94.09	-1.66	82.55	9.604	42.924	3.332	0.52161	-0.54150	-0.48819	0.44296	24.8	13111	100
2025-5-10 11:2:20.954	WTBenchPress#5(CEA7A127C8E8)	0.029	-1.028	-0.043	-2.380	-0.732	0.000	-94.12	-1.66	82.55	9.604	42.924	3.332	0.52161	-0.54150	-0.48819	0.44296	24.8	13111	100
2025-5-10 11:2:20.983	WTBenchPress#5(CEA7A127C8E8)	0.029	-1.029	-0.043	-2.014	-0.732	0.000	-94.14	-1.65	82.54	9.604	42.924	3.332	0.52161	-0.54150	-0.48819	0.44296	24.8	13111	100
2025-5-10 11:2:20.983	WTBenchPress#5(CEA7A127C8E8)	0.029	-1.029	-0.043	-1.709	-0.671	0.000	-94.16	-1.65	82.54	9.604	42.924	3.332	0.52161	-0.54150	-0.48819	0.44296	24.8	13111	100
2025-5-10 11:2:21.44	WTBenchPress#5(CEA7A127C8E8)	0.030	-1.029	-0.042	-1.343	-0.671	0.000	-94.17	-1.65	82.54	9.604	42.924	3.332	0.52161	-0.54150	-0.48819	0.44296	24.8	13111	100
2025-5-10 11:2:21.44	WTBenchPress#5(CEA7A127C8E8)	0.030	-1.029	-0.042	-1.038	-0.610	0.000	-94.17	-1.65	82.53	9.604	42.924	3.332	0.52161	-0.54150	-0.48819	0.44296	24.8	13111	100
2025-5-10 11:2:21.75	WTBenchPress#5(CEA7A127C8E8)	0.030	-1.029	-0.042	-0.793	-0.549	0.000	-94.17	-1.65	82.52	9.604	42.924	3.332	0.52161	-0.54150	-0.48819	0.44296	24.8	13111	100
2025-5-10 11:2:21.75	WTBenchPress#5(CEA7A127C8E8)	0.030	-1.029	-0.042	-0.427	-0.549	0.000	-94.16	-1.65	82.51	9.604	42.924	3.332	0.52161	-0.54150	-0.48819	0.44296	24.8	13111	100
2025-5-10 11:2:21.104	WTBenchPress#5(CEA7A127C8E8)	0.031	-1.029	-0.042	-0.122	-0.488	0.000	-94.15	-1.64	82.50	9.604	42.924	3.332	0.52161	-0.54150	-0.48819	0.44296	24.8	13111	100
2025-5-10 11:2:21.104	WTBenchPress#5(CEA7A127C8E8)	0.031	-1.029	-0.042	0.183	-0.488	0.000	-94.13	-1.64	82.49	9.604	42.924	3.332	0.51904	-0.54388	-0.48993	0.44113	24.8	13111	100
2025-5-10 11:2:21.165	WTBenchPress#5(CEA7A127C8E8)	0.031	-1.028	-0.042	0.488	-0.427	0.000	-94.10	-1.64	82.48	9.604	42.924	3.332	0.51904	-0.54388	-0.48993	0.44113	24.8	13111	100
2025-5-10 11:2:21.166	WTBenchPress#5(CEA7A127C8E8)	0.030	-1.028	-0.042	0.732	-0.366	0.000	-94.06	-1.64	82.47	9.604	42.924	3.332	0.51904	-0.54388	-0.48993	0.44113	24.8	13111	100
2025-5-10 11:2:21.203	WTBenchPress#5(CEA7A127C8E8)	0.030	-1.028	-0.042	0.977	-0.427	0.000	-94.03	-1.64	82.46	9.604	42.924	3.332	0.51904	-0.54388	-0.48993	0.44113	24.8	13111	100
2025-5-10 11:2:21.203	WTBenchPress#5(CEA7A127C8E8)	0.030	-1.029	-0.042	1.099	-0.366	-0.305	-93.99	-1.65	82.45	9.604	42.924	3.332	0.51904	-0.54388	-0.48993	0.44113	24.8	13111	100
2025-5-10 11:2:21.223	WTBenchPress#5(CEA7A127C8E8)	0.029	-1.029	-0.042	1.221	-0.366	-0.305	-93.94	-1.65	82.44	9.604	42.924	3.332	0.51904	-0.54388	-0.48993	0.44113	24.8	13111	100
2025-5-10 11:2:21.223	WTBenchPress#5(CEA7A127C8E8)	0.029	-1.029	-0.042	1.282	-0.305	-0.305	-93.90	-1.66	82.43	9.604	42.924	3.332	0.51904	-0.54388	-0.48993	0.44113	24.8	13111	100
2025-5-10 11:2:21.283	WTBenchPress#5(CEA7A127C8E8)	0.029	-1.029	-0.042	1.343	-0.305	-0.244	-93.86	-1.66	82.42	9.604	42.924	3.332	0.51904	-0.54388	-0.48993	0.44113	24.8	13111	100
2025-5-10 11:2:21.284	WTBenchPress#5(CEA7A127C8E8)	0.029	-1.029	-0.042	1.404	-0.366	-0.305	-93.81	-1.67	82.42	9.604	42.924	3.332	0.51904	-0.54388	-0.48993	0.44113	24.8	13111	100
