time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-11 11:11:8.517	WTBenchPress#5(CEA7A127C8E8)	0.041	-1.022	0.108	1.709	-0.549	-0.122	-85.57	-2.63	132.13	6.664	18.326	-8.526	0.31146	-0.26056	-0.62863	0.66318	25.5	13111	100
2025-5-11 11:11:8.517	WTBenchPress#5(CEA7A127C8E8)	0.040	-1.021	0.109	1.892	-0.549	-0.122	-85.51	-2.63	132.13	6.664	18.326	-8.526	0.31146	-0.26056	-0.62863	0.66318	25.5	13111	100
2025-5-11 11:11:8.579	WTBenchPress#5(CEA7A127C8E8)	0.040	-1.022	0.110	1.953	-0.549	-0.122	-85.46	-2.63	132.14	6.664	18.326	-8.526	0.31146	-0.26056	-0.62863	0.66318	25.5	13111	100
2025-5-11 11:11:8.579	WTBenchPress#5(CEA7A127C8E8)	0.040	-1.023	0.112	1.831	-0.549	-0.122	-85.40	-2.63	132.14	6.664	18.326	-8.526	0.31146	-0.26056	-0.62863	0.66318	25.5	13111	100
2025-5-11 11:11:8.609	WTBenchPress#5(CEA7A127C8E8)	0.040	-1.021	0.111	1.648	-0.549	-0.122	-85.35	-2.63	132.14	6.664	18.326	-8.526	0.31146	-0.26056	-0.62863	0.66318	25.5	13111	100
2025-5-11 11:11:8.609	WTBenchPress#5(CEA7A127C8E8)	0.039	-1.021	0.111	1.404	-0.549	-0.183	-85.30	-2.63	132.15	6.664	18.032	-8.526	0.31146	-0.26056	-0.62863	0.66318	25.5	13111	100
2025-5-11 11:11:8.639	WTBenchPress#5(CEA7A127C8E8)	0.039	-1.022	0.111	1.221	-0.549	-0.183	-85.26	-2.63	132.15	6.664	18.032	-8.526	0.31146	-0.26056	-0.62863	0.66318	25.5	13111	100
2025-5-11 11:11:8.639	WTBenchPress#5(CEA7A127C8E8)	0.039	-1.022	0.112	1.038	-0.488	-0.183	-85.22	-2.63	132.15	6.664	18.032	-8.526	0.31146	-0.26056	-0.62863	0.66318	25.5	13111	100
2025-5-11 11:11:8.699	WTBenchPress#5(CEA7A127C8E8)	0.038	-1.022	0.112	0.732	-0.488	-0.183	-85.19	-2.63	132.15	6.664	18.032	-8.526	0.31146	-0.26056	-0.62863	0.66318	25.5	13111	100
2025-5-11 11:11:8.699	WTBenchPress#5(CEA7A127C8E8)	0.038	-1.021	0.112	0.549	-0.488	-0.183	-85.16	-2.63	132.16	6.664	18.032	-8.526	0.31146	-0.26056	-0.62863	0.66318	25.5	13111	100
2025-5-11 11:11:8.741	WTBenchPress#5(CEA7A127C8E8)	0.038	-1.021	0.111	0.244	-0.488	-0.183	-85.14	-2.63	132.17	6.664	18.032	-8.526	0.31146	-0.26056	-0.62863	0.66318	25.5	13111	100
