time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-11 12:2:4.83	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.005	0.205	-0.244	-0.122	0.000	-78.27	-2.37	147.99	3.626	18.620	-10.878	0.22659	-0.15845	-0.61026	0.74231	29.7	13111	100
2025-5-11 12:2:4.83	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.005	0.204	-0.183	-0.122	0.000	-78.27	-2.37	147.99	3.626	18.620	-10.878	0.22659	-0.15845	-0.61026	0.74231	29.7	13111	100
2025-5-11 12:2:4.112	WTBenchPress#5(CEA7A127C8E8)	0.043	-1.005	0.204	-0.122	-0.122	0.000	-78.28	-2.37	147.99	3.626	18.620	-10.878	0.22659	-0.15845	-0.61026	0.74231	29.7	13111	100
2025-5-11 12:2:4.112	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.204	0.000	-0.122	0.000	-78.28	-2.37	147.99	3.626	18.620	-10.878	0.22659	-0.15845	-0.61026	0.74231	29.7	13111	100
2025-5-11 12:2:4.141	WTBenchPress#5(CEA7A127C8E8)	0.043	-1.006	0.204	0.122	-0.061	0.000	-78.28	-2.37	147.99	3.626	18.620	-10.878	0.22659	-0.15845	-0.61026	0.74231	29.7	13111	100
2025-5-11 12:2:4.142	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.204	0.183	-0.061	0.000	-78.28	-2.37	147.99	3.626	18.620	-10.878	0.22659	-0.15845	-0.61026	0.74231	29.7	13111	100
2025-5-11 12:2:4.202	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.005	0.204	0.366	-0.122	0.000	-78.28	-2.37	147.99	3.626	18.620	-10.878	0.22659	-0.15845	-0.61026	0.74231	29.7	13111	100
2025-5-11 12:2:4.202	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.005	0.204	0.427	-0.061	0.000	-78.28	-2.37	147.99	3.626	18.620	-10.878	0.22659	-0.15845	-0.61026	0.74231	29.7	13111	100
2025-5-11 12:2:4.235	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.205	0.610	-0.061	0.000	-78.27	-2.37	147.99	3.626	18.620	-10.878	0.22659	-0.15845	-0.61026	0.74231	29.7	13111	100
2025-5-11 12:2:4.235	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.204	0.671	-0.061	0.000	-78.26	-2.37	148.00	3.626	18.620	-10.878	0.22659	-0.15845	-0.61026	0.74231	29.7	13111	100
2025-5-11 12:2:4.264	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.204	0.671	-0.061	0.000	-78.25	-2.37	148.00	3.626	18.620	-10.878	0.22659	-0.15845	-0.61026	0.74231	29.7	13111	100
2025-5-11 12:2:4.264	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.005	0.204	0.732	0.000	0.000	-78.24	-2.37	148.00	3.626	18.620	-10.878	0.22635	-0.15842	-0.61075	0.74197	29.7	13111	100
2025-5-11 12:2:4.322	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.205	0.793	-0.061	0.000	-78.23	-2.37	148.00	3.626	18.620	-10.878	0.22635	-0.15842	-0.61075	0.74197	29.7	13111	100
2025-5-11 12:2:4.322	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.204	0.854	-0.061	0.000	-78.22	-2.37	148.00	3.626	18.620	-10.878	0.22635	-0.15842	-0.61075	0.74197	29.7	13111	100
2025-5-11 12:2:4.352	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.005	0.205	0.916	0.000	0.000	-78.20	-2.37	148.00	3.626	18.620	-10.878	0.22635	-0.15842	-0.61075	0.74197	29.7	13111	100
2025-5-11 12:2:4.353	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.205	0.854	-0.061	0.000	-78.18	-2.37	148.00	3.626	18.620	-10.878	0.22635	-0.15842	-0.61075	0.74197	29.7	13111	100
2025-5-11 12:2:4.384	WTBenchPress#5(CEA7A127C8E8)	0.041	-1.006	0.205	0.854	-0.061	0.000	-78.17	-2.37	148.00	3.626	18.620	-10.878	0.22635	-0.15842	-0.61075	0.74197	29.7	13111	100
2025-5-11 12:2:4.384	WTBenchPress#5(CEA7A127C8E8)	0.041	-1.006	0.204	0.854	-0.061	0.000	-78.16	-2.37	148.00	3.626	18.620	-10.878	0.22635	-0.15842	-0.61075	0.74197	29.7	13111	100
2025-5-11 12:2:4.445	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.205	0.793	-0.061	0.000	-78.15	-2.37	148.00	3.626	18.620	-10.878	0.22635	-0.15842	-0.61075	0.74197	29.7	13111	100
2025-5-11 12:2:4.445	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.205	0.732	-0.061	0.000	-78.14	-2.37	148.00	3.626	18.620	-10.878	0.22635	-0.15842	-0.61075	0.74197	29.7	13111	100
2025-5-11 12:2:4.473	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.204	0.671	-0.061	0.000	-78.13	-2.37	148.00	3.626	18.620	-10.878	0.22635	-0.15842	-0.61075	0.74197	29.7	13111	100
2025-5-11 12:2:4.473	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.205	0.610	-0.061	0.000	-78.12	-2.37	148.00	3.430	18.620	-10.976	0.22635	-0.15842	-0.61075	0.74197	29.7	13111	100
2025-5-11 12:2:4.502	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.205	0.549	-0.061	0.000	-78.11	-2.37	148.00	3.430	18.620	-10.976	0.22635	-0.15842	-0.61075	0.74197	29.7	13111	100
2025-5-11 12:2:4.502	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.205	0.488	0.000	0.000	-78.11	-2.37	148.00	3.430	18.620	-10.976	0.22635	-0.15842	-0.61075	0.74197	29.7	13111	100
2025-5-11 12:2:4.562	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.205	0.366	-0.061	0.000	-78.10	-2.37	148.00	3.430	18.620	-10.976	0.22635	-0.15842	-0.61075	0.74197	29.7	13111	100
2025-5-11 12:2:4.563	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.005	0.205	0.244	-0.061	0.000	-78.10	-2.37	148.00	3.430	18.620	-10.976	0.22635	-0.15842	-0.61075	0.74197	29.7	13111	100
2025-5-11 12:2:4.621	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.205	0.122	-0.061	0.000	-78.11	-2.37	148.00	3.430	18.620	-10.976	0.22635	-0.15842	-0.61075	0.74197	29.7	13111	100
2025-5-11 12:2:4.621	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.206	0.122	-0.061	0.000	-78.11	-2.37	148.00	3.430	18.620	-10.976	0.22635	-0.15842	-0.61075	0.74197	29.7	13111	100
2025-5-11 12:2:4.623	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.205	0.000	-0.061	0.000	-78.11	-2.37	148.00	3.430	18.620	-10.976	0.22635	-0.15842	-0.61075	0.74197	29.7	13111	100
2025-5-11 12:2:4.623	WTBenchPress#5(CEA7A127C8E8)	0.043	-1.006	0.205	-0.061	-0.061	0.000	-78.12	-2.37	148.00	3.430	18.620	-10.976	0.22635	-0.15842	-0.61075	0.74197	29.7	13111	100
2025-5-11 12:2:4.682	WTBenchPress#5(CEA7A127C8E8)	0.043	-1.005	0.205	-0.122	-0.061	0.000	-78.12	-2.37	148.00	3.430	18.620	-10.976	0.22635	-0.15842	-0.61075	0.74197	29.7	13111	100
2025-5-11 12:2:4.682	WTBenchPress#5(CEA7A127C8E8)	0.043	-1.005	0.205	-0.122	-0.061	0.000	-78.13	-2.37	148.00	3.430	18.620	-10.976	0.22635	-0.15842	-0.61075	0.74197	29.7	13111	100
2025-5-11 12:2:4.711	WTBenchPress#5(CEA7A127C8E8)	0.043	-1.006	0.205	-0.183	-0.061	0.000	-78.13	-2.37	148.01	3.430	18.620	-10.976	0.22641	-0.15820	-0.61014	0.74252	29.7	13111	100
2025-5-11 12:2:4.712	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.005	0.205	-0.244	-0.061	0.000	-78.15	-2.37	148.01	3.430	18.620	-10.976	0.22641	-0.15820	-0.61014	0.74252	29.7	13111	100
2025-5-11 12:2:4.742	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.205	-0.305	-0.061	0.000	-78.16	-2.37	148.01	3.430	18.620	-10.976	0.22641	-0.15820	-0.61014	0.74252	29.7	13111	100
2025-5-11 12:2:4.742	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.205	-0.366	-0.061	0.000	-78.17	-2.37	148.01	3.430	18.620	-10.976	0.22641	-0.15820	-0.61014	0.74252	29.7	13111	100
2025-5-11 12:2:4.802	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.005	0.204	-0.427	-0.061	0.000	-78.18	-2.37	148.01	3.430	18.620	-10.976	0.22641	-0.15820	-0.61014	0.74252	29.7	13111	100
2025-5-11 12:2:4.802	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.005	0.204	-0.427	-0.061	0.000	-78.19	-2.37	148.01	3.430	18.620	-10.976	0.22641	-0.15820	-0.61014	0.74252	29.7	13111	100
2025-5-11 12:2:4.834	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.204	-0.427	-0.061	0.000	-78.20	-2.37	148.01	3.430	18.620	-10.976	0.22641	-0.15820	-0.61014	0.74252	29.7	13111	100
2025-5-11 12:2:4.834	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.204	-0.427	-0.061	0.000	-78.22	-2.37	148.01	3.430	18.620	-10.976	0.22641	-0.15820	-0.61014	0.74252	29.7	13111	100
2025-5-11 12:2:4.864	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.204	-0.366	-0.061	0.000	-78.23	-2.37	148.01	3.430	18.620	-10.976	0.22641	-0.15820	-0.61014	0.74252	29.7	13111	100
2025-5-11 12:2:4.864	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.204	-0.305	-0.061	0.000	-78.23	-2.37	148.01	3.528	18.620	-10.878	0.22641	-0.15820	-0.61014	0.74252	29.7	13111	100
2025-5-11 12:2:4.922	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.204	-0.244	-0.061	0.000	-78.24	-2.37	148.01	3.528	18.620	-10.878	0.22641	-0.15820	-0.61014	0.74252	29.7	13111	100
2025-5-11 12:2:4.922	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.204	-0.244	-0.061	0.000	-78.25	-2.37	148.01	3.528	18.620	-10.878	0.22641	-0.15820	-0.61014	0.74252	29.7	13111	100
2025-5-11 12:2:4.951	WTBenchPress#5(CEA7A127C8E8)	0.041	-1.006	0.204	-0.183	-0.061	0.000	-78.26	-2.37	148.01	3.528	18.620	-10.878	0.22641	-0.15820	-0.61014	0.74252	29.7	13111	100
2025-5-11 12:2:4.951	WTBenchPress#5(CEA7A127C8E8)	0.041	-1.006	0.204	-0.122	-0.061	0.000	-78.27	-2.37	148.01	3.528	18.620	-10.878	0.22641	-0.15820	-0.61014	0.74252	29.7	13111	100
2025-5-11 12:2:4.982	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.204	-0.122	-0.061	0.000	-78.27	-2.37	148.01	3.528	18.620	-10.878	0.22641	-0.15820	-0.61014	0.74252	29.7	13111	100
2025-5-11 12:2:4.982	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.006	0.204	-0.061	-0.061	0.000	-78.28	-2.37	148.02	3.528	18.620	-10.878	0.22641	-0.15820	-0.61014	0.74252	29.7	13111	100
