time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-2 11:0:18.599	WTBenchPress#5(CEA7A127C8E8)	-0.139	0.112	0.977	0.000	0.000	0.000	6.55	8.05	117.26	30.870	-15.582	-4.214	0.52179	-0.03015	0.08514	0.84821	21.4	13111	0
2025-5-2 11:0:18.599	WTBenchPress#5(CEA7A127C8E8)	-0.139	0.112	0.976	0.000	0.000	0.000	6.55	8.05	117.26	30.870	-15.582	-4.214	0.52179	-0.03015	0.08514	0.84821	21.4	13111	0
2025-5-2 11:0:18.599	WTBenchPress#5(CEA7A127C8E8)	-0.139	0.112	0.976	0.000	0.000	0.000	6.55	8.05	117.26	30.870	-15.582	-4.214	0.52179	-0.03015	0.08514	0.84821	21.4	13111	0
2025-5-2 11:0:18.599	WTBenchPress#5(CEA7A127C8E8)	-0.138	0.112	0.976	0.000	0.000	0.000	6.55	8.05	117.26	30.870	-15.582	-4.214	0.52179	-0.03015	0.08514	0.84821	21.4	13111	0
2025-5-2 11:0:18.650	WTBenchPress#5(CEA7A127C8E8)	-0.139	0.112	0.976	0.000	0.000	0.000	6.55	8.05	117.26	30.870	-15.582	-4.214	0.52179	-0.03015	0.08514	0.84821	21.4	13111	0
2025-5-2 11:0:18.650	WTBenchPress#5(CEA7A127C8E8)	-0.139	0.112	0.976	0.000	0.000	0.000	6.55	8.05	117.26	30.870	-15.582	-4.214	0.52179	-0.03015	0.08514	0.84821	21.4	13111	0
2025-5-2 11:0:18.680	WTBenchPress#5(CEA7A127C8E8)	-0.139	0.112	0.976	0.000	0.000	0.000	6.55	8.05	117.26	30.870	-15.582	-4.214	0.52179	-0.03015	0.08514	0.84821	21.4	13111	0
2025-5-2 11:0:18.680	WTBenchPress#5(CEA7A127C8E8)	-0.139	0.112	0.976	0.000	0.000	0.000	6.55	8.05	117.26	30.772	-15.680	-4.214	0.52179	-0.03015	0.08514	0.84821	21.4	13111	0
2025-5-2 11:0:18.709	WTBenchPress#5(CEA7A127C8E8)	-0.139	0.112	0.976	0.000	0.000	0.000	6.55	8.05	117.26	30.772	-15.680	-4.214	0.52179	-0.03015	0.08514	0.84821	21.4	13111	0
2025-5-2 11:0:18.709	WTBenchPress#5(CEA7A127C8E8)	-0.139	0.112	0.976	0.000	0.000	0.000	6.55	8.05	117.26	30.772	-15.680	-4.214	0.52179	-0.03015	0.08514	0.84821	21.4	13111	0
