time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-10 11:12:10.704	WTBenchPress#5(CEA7A127C8E8)	0.024	-1.026	-0.073	-0.427	-0.061	0.000	-94.24	-1.35	88.34	11.368	46.550	3.626	0.49609	-0.51880	-0.51437	0.46909	22.2	13111	100
2025-5-10 11:12:10.704	WTBenchPress#5(CEA7A127C8E8)	0.024	-1.026	-0.072	-0.305	0.000	0.000	-94.24	-1.35	88.34	11.368	46.550	3.626	0.49402	-0.51999	-0.51627	0.46783	22.2	13111	100
2025-5-10 11:12:10.732	WTBenchPress#5(CEA7A127C8E8)	0.024	-1.027	-0.072	-0.183	0.000	0.000	-94.24	-1.35	88.33	11.368	46.550	3.626	0.49402	-0.51999	-0.51627	0.46783	22.2	13111	100
2025-5-10 11:12:10.732	WTBenchPress#5(CEA7A127C8E8)	0.024	-1.026	-0.073	0.000	0.000	0.000	-94.24	-1.35	88.33	11.368	46.550	3.626	0.49402	-0.51999	-0.51627	0.46783	22.2	13111	100
2025-5-10 11:12:10.791	WTBenchPress#5(CEA7A127C8E8)	0.024	-1.028	-0.074	0.366	0.000	0.000	-94.24	-1.35	88.32	11.368	46.550	3.626	0.49402	-0.51999	-0.51627	0.46783	22.2	13111	100
2025-5-10 11:12:10.791	WTBenchPress#5(CEA7A127C8E8)	0.025	-1.030	-0.072	0.488	0.061	0.000	-94.23	-1.35	88.32	11.368	46.550	3.626	0.49402	-0.51999	-0.51627	0.46783	22.2	13111	100
2025-5-10 11:12:10.822	WTBenchPress#5(CEA7A127C8E8)	0.024	-1.028	-0.070	0.305	0.122	0.000	-94.22	-1.35	88.32	11.368	46.550	3.626	0.49402	-0.51999	-0.51627	0.46783	22.2	13111	100
2025-5-10 11:12:10.822	WTBenchPress#5(CEA7A127C8E8)	0.024	-1.024	-0.072	0.000	0.122	0.000	-94.21	-1.35	88.31	11.368	46.550	3.626	0.49402	-0.51999	-0.51627	0.46783	22.2	13111	100
2025-5-10 11:12:10.853	WTBenchPress#5(CEA7A127C8E8)	0.024	-1.024	-0.072	0.122	0.122	0.000	-94.21	-1.35	88.30	11.368	46.550	3.626	0.49402	-0.51999	-0.51627	0.46783	22.2	13111	100
2025-5-10 11:12:10.853	WTBenchPress#5(CEA7A127C8E8)	0.024	-1.026	-0.075	0.366	0.122	0.000	-94.20	-1.35	88.29	11.368	46.550	3.626	0.49402	-0.51999	-0.51627	0.46783	22.2	13111	100
2025-5-10 11:12:10.909	WTBenchPress#5(CEA7A127C8E8)	0.025	-1.029	-0.073	0.977	0.122	0.000	-94.19	-1.35	88.29	11.368	46.550	3.626	0.49402	-0.51999	-0.51627	0.46783	22.2	13111	100
2025-5-10 11:12:10.909	WTBenchPress#5(CEA7A127C8E8)	0.024	-1.029	-0.074	1.221	0.183	0.000	-94.16	-1.35	88.28	11.368	46.550	3.626	0.49402	-0.51999	-0.51627	0.46783	22.2	13111	100
2025-5-10 11:12:10.941	WTBenchPress#5(CEA7A127C8E8)	0.025	-1.029	-0.072	1.404	0.183	0.000	-94.14	-1.35	88.28	11.564	46.550	3.724	0.49402	-0.51999	-0.51627	0.46783	22.2	13111	100
2025-5-10 11:12:10.941	WTBenchPress#5(CEA7A127C8E8)	0.023	-1.025	-0.073	1.404	0.183	0.000	-94.10	-1.35	88.28	11.564	46.550	3.724	0.49402	-0.51999	-0.51627	0.46783	22.2	13111	100
2025-5-10 11:12:10.971	WTBenchPress#5(CEA7A127C8E8)	0.024	-1.025	-0.072	1.526	0.183	0.000	-94.08	-1.35	88.28	11.564	46.550	3.724	0.49402	-0.51999	-0.51627	0.46783	22.2	13111	100
2025-5-10 11:12:10.971	WTBenchPress#5(CEA7A127C8E8)	0.025	-1.028	-0.071	1.404	0.183	0.000	-94.05	-1.35	88.26	11.564	46.550	3.724	0.49402	-0.51999	-0.51627	0.46783	22.2	13111	100
2025-5-10 11:12:11.30	WTBenchPress#5(CEA7A127C8E8)	0.024	-1.031	-0.070	0.854	0.183	0.000	-94.02	-1.35	88.26	11.564	46.550	3.724	0.49402	-0.51999	-0.51627	0.46783	22.2	13111	100
2025-5-10 11:12:11.30	WTBenchPress#5(CEA7A127C8E8)	0.024	-1.025	-0.069	0.305	0.122	0.000	-94.01	-1.35	88.26	11.564	46.550	3.724	0.49402	-0.51999	-0.51627	0.46783	22.2	13111	100
