time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-2 10:46:55.98	WTBenchPress#5(CEA7A127C8E8)	-0.735	-0.691	-0.166	-1.099	-0.488	-0.488	-104.43	45.49	94.21	60.858	0.196	-2.058	0.16043	-0.66971	-0.37259	0.62195	22.0	13111	0
2025-5-2 10:46:55.98	WTBenchPress#5(CEA7A127C8E8)	-0.736	-0.691	-0.167	-1.099	-0.488	-0.366	-104.43	45.49	94.21	60.858	0.196	-2.058	0.16043	-0.66971	-0.37259	0.62195	22.0	13111	0
2025-5-2 10:46:55.115	WTBenchPress#5(CEA7A127C8E8)	-0.736	-0.692	-0.167	-1.099	-0.488	-0.427	-104.43	45.49	94.21	60.858	0.196	-2.058	0.16043	-0.66971	-0.37259	0.62195	22.0	13111	0
2025-5-2 10:46:55.115	WTBenchPress#5(CEA7A127C8E8)	-0.735	-0.692	-0.167	-1.099	-0.427	-0.549	-104.43	45.49	94.21	60.858	0.196	-2.058	0.16043	-0.66971	-0.37259	0.62195	22.0	13111	0
2025-5-2 10:46:55.143	WTBenchPress#5(CEA7A127C8E8)	-0.735	-0.690	-0.167	-1.038	-0.427	-0.732	-104.43	45.49	94.21	60.858	0.196	-2.058	0.16043	-0.66971	-0.37259	0.62195	22.0	13111	0
2025-5-2 10:46:55.143	WTBenchPress#5(CEA7A127C8E8)	-0.735	-0.691	-0.167	-0.977	-0.488	-0.854	-104.43	45.48	94.21	60.858	0.196	-2.058	0.16043	-0.66971	-0.37259	0.62195	22.0	13111	0
2025-5-2 10:46:55.234	WTBenchPress#5(CEA7A127C8E8)	-0.735	-0.691	-0.167	-0.977	-0.488	-0.916	-104.42	45.47	94.21	60.858	0.098	-2.058	0.16043	-0.66971	-0.37259	0.62195	22.0	13111	0
2025-5-2 10:46:55.234	WTBenchPress#5(CEA7A127C8E8)	-0.734	-0.692	-0.166	-1.038	-0.488	-0.793	-104.41	45.46	94.22	60.858	0.098	-2.058	0.16043	-0.66971	-0.37259	0.62195	22.0	13111	0
2025-5-2 10:46:55.235	WTBenchPress#5(CEA7A127C8E8)	-0.734	-0.692	-0.167	-1.160	-0.427	-0.549	-104.41	45.46	94.21	60.858	0.098	-2.058	0.16043	-0.66971	-0.37259	0.62195	22.0	13111	0
2025-5-2 10:46:55.235	WTBenchPress#5(CEA7A127C8E8)	-0.736	-0.691	-0.167	-1.282	-0.488	0.122	-104.42	45.47	94.21	60.858	0.098	-2.058	0.16043	-0.66971	-0.37259	0.62195	22.0	13111	0
2025-5-2 10:46:55.265	WTBenchPress#5(CEA7A127C8E8)	-0.737	-0.691	-0.166	-1.282	-0.488	0.000	-104.43	45.48	94.21	60.858	0.098	-2.058	0.16043	-0.66971	-0.37259	0.62195	22.0	13111	0
2025-5-2 10:46:55.265	WTBenchPress#5(CEA7A127C8E8)	-0.736	-0.691	-0.167	-1.099	-0.488	-0.366	-104.43	45.48	94.20	60.858	0.098	-2.058	0.16043	-0.66971	-0.37259	0.62195	22.0	13111	0
2025-5-2 10:46:55.324	WTBenchPress#5(CEA7A127C8E8)	-0.734	-0.691	-0.166	-1.099	-0.488	-0.671	-104.43	45.48	94.20	60.858	0.098	-2.058	0.16043	-0.66971	-0.37259	0.62195	22.0	13111	0
2025-5-2 10:46:55.325	WTBenchPress#5(CEA7A127C8E8)	-0.734	-0.690	-0.166	-1.038	-0.488	-0.732	-104.43	45.48	94.21	60.858	0.098	-2.058	0.16043	-0.66971	-0.37259	0.62195	22.0	13111	0
2025-5-2 10:46:55.354	WTBenchPress#5(CEA7A127C8E8)	-0.734	-0.692	-0.165	-1.099	-0.549	-0.549	-104.43	45.47	94.21	60.858	0.098	-2.058	0.16043	-0.66971	-0.37259	0.62195	22.0	13111	0
2025-5-2 10:46:55.354	WTBenchPress#5(CEA7A127C8E8)	-0.736	-0.693	-0.166	-1.221	-0.549	-0.244	-104.42	45.47	94.21	60.858	0.098	-2.058	0.16083	-0.66956	-0.37280	0.62189	22.0	13111	0
2025-5-2 10:46:55.396	WTBenchPress#5(CEA7A127C8E8)	-0.734	-0.693	-0.166	-1.282	-0.488	0.000	-104.43	45.47	94.21	60.858	0.098	-2.058	0.16083	-0.66956	-0.37280	0.62189	22.0	13111	0
2025-5-2 10:46:55.396	WTBenchPress#5(CEA7A127C8E8)	-0.734	-0.690	-0.166	-1.343	-0.488	0.122	-104.43	45.48	94.21	60.858	0.098	-2.058	0.16083	-0.66956	-0.37280	0.62189	22.0	13111	0
2025-5-2 10:46:55.444	WTBenchPress#5(CEA7A127C8E8)	-0.737	-0.690	-0.166	-1.343	-0.488	0.183	-104.44	45.49	94.21	60.858	0.098	-2.058	0.16083	-0.66956	-0.37280	0.62189	22.0	13111	0
2025-5-2 10:46:55.444	WTBenchPress#5(CEA7A127C8E8)	-0.736	-0.692	-0.167	-1.282	-0.488	0.061	-104.44	45.51	94.20	60.858	0.098	-2.058	0.16083	-0.66956	-0.37280	0.62189	22.0	13111	0
2025-5-2 10:46:55.503	WTBenchPress#5(CEA7A127C8E8)	-0.737	-0.689	-0.166	-1.221	-0.549	-0.183	-104.45	45.51	94.20	60.858	0.098	-2.058	0.16083	-0.66956	-0.37280	0.62189	22.0	13111	0
2025-5-2 10:46:55.503	WTBenchPress#5(CEA7A127C8E8)	-0.736	-0.693	-0.167	-1.160	-0.488	-0.366	-104.45	45.52	94.20	60.858	0.098	-2.058	0.16083	-0.66956	-0.37280	0.62189	22.0	13111	0
2025-5-2 10:46:55.535	WTBenchPress#5(CEA7A127C8E8)	-0.733	-0.694	-0.165	-1.160	-0.488	-0.427	-104.45	45.52	94.20	60.858	0.098	-2.058	0.16083	-0.66956	-0.37280	0.62189	22.0	13111	0
2025-5-2 10:46:55.535	WTBenchPress#5(CEA7A127C8E8)	-0.734	-0.690	-0.166	-1.221	-0.549	-0.305	-104.45	45.52	94.20	60.858	0.098	-2.058	0.16083	-0.66956	-0.37280	0.62189	22.0	13111	0
2025-5-2 10:46:55.564	WTBenchPress#5(CEA7A127C8E8)	-0.736	-0.692	-0.167	-1.221	-0.488	-0.122	-104.45	45.52	94.20	60.858	0.098	-2.058	0.16083	-0.66956	-0.37280	0.62189	22.0	13111	0
2025-5-2 10:46:55.564	WTBenchPress#5(CEA7A127C8E8)	-0.736	-0.692	-0.166	-1.221	-0.549	-0.122	-104.45	45.52	94.20	60.760	0.196	-2.156	0.16083	-0.66956	-0.37280	0.62189	22.0	13111	0
2025-5-2 10:46:55.595	WTBenchPress#5(CEA7A127C8E8)	-0.735	-0.691	-0.166	-1.221	-0.488	-0.183	-104.45	45.53	94.20	60.760	0.196	-2.156	0.16083	-0.66956	-0.37280	0.62189	22.0	13111	0
2025-5-2 10:46:55.595	WTBenchPress#5(CEA7A127C8E8)	-0.734	-0.690	-0.166	-1.221	-0.488	-0.183	-104.46	45.53	94.20	60.760	0.196	-2.156	0.16083	-0.66956	-0.37280	0.62189	22.0	13111	0
2025-5-2 10:46:55.655	WTBenchPress#5(CEA7A127C8E8)	-0.735	-0.691	-0.166	-1.160	-0.488	-0.244	-104.46	45.54	94.20	60.760	0.196	-2.156	0.16083	-0.66956	-0.37280	0.62189	22.0	13111	0
2025-5-2 10:46:55.655	WTBenchPress#5(CEA7A127C8E8)	-0.737	-0.690	-0.166	-1.160	-0.488	-0.244	-104.46	45.54	94.20	60.760	0.196	-2.156	0.16083	-0.66956	-0.37280	0.62189	22.0	13111	0
2025-5-2 10:46:55.694	WTBenchPress#5(CEA7A127C8E8)	-0.737	-0.693	-0.167	-1.160	-0.488	-0.305	-104.46	45.54	94.20	60.760	0.196	-2.156	0.16083	-0.66956	-0.37280	0.62189	22.0	13111	0
2025-5-2 10:46:55.694	WTBenchPress#5(CEA7A127C8E8)	-0.735	-0.692	-0.167	-1.160	-0.488	-0.366	-104.46	45.54	94.20	60.760	0.196	-2.156	0.16083	-0.66956	-0.37280	0.62189	22.0	13111	0
2025-5-2 10:46:55.715	WTBenchPress#5(CEA7A127C8E8)	-0.734	-0.691	-0.167	-1.160	-0.427	-0.427	-104.46	45.54	94.20	60.760	0.196	-2.156	0.16083	-0.66956	-0.37280	0.62189	22.0	13111	0
