time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-11 11:12:26.171	WTBenchPress#5(CEA7A127C8E8)	0.038	-1.023	0.104	-2.869	-0.549	0.000	-86.13	-2.49	130.39	7.154	18.914	-8.526	0.32257	-0.26999	-0.62146	0.66086	24.3	13111	100
2025-5-11 11:12:26.171	WTBenchPress#5(CEA7A127C8E8)	0.039	-1.023	0.104	-2.502	-0.488	0.000	-86.15	-2.49	130.37	7.154	18.914	-8.526	0.32257	-0.26999	-0.62146	0.66086	24.3	13111	100
2025-5-11 11:12:26.229	WTBenchPress#5(CEA7A127C8E8)	0.039	-1.023	0.103	-2.014	-0.427	0.000	-86.18	-2.48	130.37	7.154	18.914	-8.526	0.32257	-0.26999	-0.62146	0.66086	24.3	13111	100
2025-5-11 11:12:26.229	WTBenchPress#5(CEA7A127C8E8)	0.039	-1.023	0.103	-1.526	-0.366	0.000	-86.19	-2.48	130.36	7.154	18.914	-8.526	0.32257	-0.26999	-0.62146	0.66086	24.3	13111	100
2025-5-11 11:12:26.259	WTBenchPress#5(CEA7A127C8E8)	0.039	-1.023	0.103	-0.916	-0.366	0.000	-86.19	-2.48	130.34	7.154	18.914	-8.526	0.31998	-0.27249	-0.62650	0.65631	24.3	13111	100
2025-5-11 11:12:26.259	WTBenchPress#5(CEA7A127C8E8)	0.039	-1.023	0.103	-0.488	-0.305	0.000	-86.18	-2.47	130.32	7.154	18.914	-8.526	0.31998	-0.27249	-0.62650	0.65631	24.3	13111	100
2025-5-11 11:12:26.288	WTBenchPress#5(CEA7A127C8E8)	0.040	-1.022	0.103	0.000	-0.244	0.000	-86.16	-2.47	130.30	7.154	18.914	-8.526	0.31998	-0.27249	-0.62650	0.65631	24.3	13111	100
2025-5-11 11:12:26.289	WTBenchPress#5(CEA7A127C8E8)	0.040	-1.023	0.103	0.366	-0.244	0.000	-86.13	-2.47	130.29	7.154	18.914	-8.526	0.31998	-0.27249	-0.62650	0.65631	24.3	13111	100
2025-5-11 11:12:26.349	WTBenchPress#5(CEA7A127C8E8)	0.040	-1.023	0.104	0.671	-0.183	0.000	-86.10	-2.47	130.27	7.154	18.914	-8.526	0.31998	-0.27249	-0.62650	0.65631	24.3	13111	100
2025-5-11 11:12:26.350	WTBenchPress#5(CEA7A127C8E8)	0.040	-1.023	0.104	0.977	-0.183	0.000	-86.06	-2.46	130.25	7.154	18.914	-8.526	0.31998	-0.27249	-0.62650	0.65631	24.3	13111	100
2025-5-11 11:12:26.381	WTBenchPress#5(CEA7A127C8E8)	0.040	-1.023	0.104	1.282	-0.122	0.000	-86.02	-2.46	130.24	7.154	18.914	-8.526	0.31998	-0.27249	-0.62650	0.65631	24.3	13111	100
2025-5-11 11:12:26.381	WTBenchPress#5(CEA7A127C8E8)	0.040	-1.023	0.104	1.648	-0.122	0.000	-85.97	-2.46	130.23	7.154	18.914	-8.526	0.31998	-0.27249	-0.62650	0.65631	24.3	13111	100
2025-5-11 11:12:26.409	WTBenchPress#5(CEA7A127C8E8)	0.040	-1.023	0.104	1.892	-0.122	0.000	-85.91	-2.46	130.21	7.154	18.914	-8.526	0.31998	-0.27249	-0.62650	0.65631	24.3	13111	100
2025-5-11 11:12:26.409	WTBenchPress#5(CEA7A127C8E8)	0.040	-1.023	0.104	2.075	-0.122	0.000	-85.85	-2.45	130.20	7.154	18.914	-8.526	0.31998	-0.27249	-0.62650	0.65631	24.3	13111	100
2025-5-11 11:12:26.470	WTBenchPress#5(CEA7A127C8E8)	0.040	-1.023	0.104	2.014	-0.122	0.000	-85.79	-2.45	130.18	6.958	19.012	-8.330	0.31998	-0.27249	-0.62650	0.65631	24.3	13111	100
2025-5-11 11:12:26.470	WTBenchPress#5(CEA7A127C8E8)	0.040	-1.022	0.104	2.014	-0.061	0.000	-85.73	-2.44	130.17	6.958	19.012	-8.330	0.31998	-0.27249	-0.62650	0.65631	24.3	13111	100
