time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-11 11:7:18.684	WTBenchPress#5(CEA7A127C8E8)	0.054	-1.018	0.144	-2.319	-0.488	-0.061	-83.47	-3.23	137.43	4.802	15.582	-8.624	0.28821	-0.22192	-0.62775	0.68814	26.1	13111	100
2025-5-11 11:7:18.684	WTBenchPress#5(CEA7A127C8E8)	0.053	-1.020	0.146	-2.747	-0.610	-0.061	-83.50	-3.23	137.44	4.802	15.582	-8.624	0.28821	-0.22192	-0.62775	0.68814	26.1	13111	100
2025-5-11 11:7:18.714	WTBenchPress#5(CEA7A127C8E8)	0.053	-1.019	0.145	-2.747	-0.671	-0.061	-83.54	-3.23	137.45	4.802	15.582	-8.624	0.28821	-0.22192	-0.62775	0.68814	26.1	13111	100
2025-5-11 11:7:18.715	WTBenchPress#5(CEA7A127C8E8)	0.054	-1.019	0.149	-1.770	-0.671	-0.061	-83.57	-3.23	137.46	4.802	15.582	-8.624	0.28821	-0.22192	-0.62775	0.68814	26.1	13111	100
2025-5-11 11:7:18.771	WTBenchPress#5(CEA7A127C8E8)	0.055	-1.018	0.150	-0.610	-0.488	-0.061	-83.58	-3.23	137.46	4.802	15.582	-8.624	0.28821	-0.22192	-0.62775	0.68814	26.1	13111	100
2025-5-11 11:7:18.772	WTBenchPress#5(CEA7A127C8E8)	0.055	-1.017	0.157	0.732	-0.305	-0.122	-83.56	-3.22	137.46	4.802	15.582	-8.624	0.28821	-0.22192	-0.62775	0.68814	26.1	13111	100
2025-5-11 11:7:18.803	WTBenchPress#5(CEA7A127C8E8)	0.053	-1.016	0.160	1.587	0.000	-0.183	-83.52	-3.22	137.46	4.802	15.582	-8.624	0.28821	-0.22192	-0.62775	0.68814	26.1	13111	100
2025-5-11 11:7:18.803	WTBenchPress#5(CEA7A127C8E8)	0.053	-1.017	0.160	2.319	0.244	-0.183	-83.46	-3.23	137.45	4.802	15.582	-8.624	0.28821	-0.22192	-0.62775	0.68814	26.1	13111	100
2025-5-11 11:7:18.836	WTBenchPress#5(CEA7A127C8E8)	0.051	-1.017	0.160	2.991	0.488	-0.244	-83.39	-3.23	137.43	4.802	15.582	-8.624	0.28821	-0.22192	-0.62775	0.68814	26.1	13111	100
2025-5-11 11:7:18.836	WTBenchPress#5(CEA7A127C8E8)	0.050	-1.018	0.159	3.784	0.732	-0.305	-83.30	-3.23	137.41	4.802	15.582	-8.624	0.28821	-0.22192	-0.62775	0.68814	26.1	13111	100
2025-5-11 11:7:18.893	WTBenchPress#5(CEA7A127C8E8)	0.049	-1.017	0.159	4.578	0.977	-0.305	-83.20	-3.23	137.38	4.802	15.680	-8.428	0.28821	-0.22192	-0.62775	0.68814	26.1	13111	100
2025-5-11 11:7:18.893	WTBenchPress#5(CEA7A127C8E8)	0.048	-1.014	0.159	5.432	1.160	-0.366	-83.08	-3.23	137.35	4.802	15.680	-8.428	0.28821	-0.22192	-0.62775	0.68814	26.1	13111	100
2025-5-11 11:7:18.922	WTBenchPress#5(CEA7A127C8E8)	0.048	-1.016	0.161	5.798	1.282	-0.488	-82.95	-3.23	137.32	4.802	15.680	-8.428	0.28821	-0.22192	-0.62775	0.68814	26.1	13111	100
2025-5-11 11:7:18.922	WTBenchPress#5(CEA7A127C8E8)	0.048	-1.017	0.166	5.493	1.404	-0.610	-82.81	-3.24	137.28	4.802	15.680	-8.428	0.28821	-0.22192	-0.62775	0.68814	26.1	13111	100
2025-5-11 11:7:18.952	WTBenchPress#5(CEA7A127C8E8)	0.047	-1.018	0.167	4.700	1.526	-0.610	-82.68	-3.24	137.26	4.802	15.680	-8.428	0.28821	-0.22192	-0.62775	0.68814	26.1	13111	100
2025-5-11 11:7:18.952	WTBenchPress#5(CEA7A127C8E8)	0.047	-1.018	0.164	4.150	1.709	-0.610	-82.57	-3.24	137.23	4.802	15.680	-8.428	0.28821	-0.22192	-0.62775	0.68814	26.1	13111	100
2025-5-11 11:7:19.42	WTBenchPress#5(CEA7A127C8E8)	0.047	-1.018	0.161	4.028	1.770	-0.671	-82.47	-3.24	137.20	4.802	15.680	-8.428	0.28821	-0.22192	-0.62775	0.68814	26.1	13111	100
2025-5-11 11:7:19.43	WTBenchPress#5(CEA7A127C8E8)	0.048	-1.018	0.161	4.211	1.892	-0.671	-82.37	-3.25	137.18	4.802	15.680	-8.428	0.28821	-0.22192	-0.62775	0.68814	26.1	13111	100
2025-5-11 11:7:19.44	WTBenchPress#5(CEA7A127C8E8)	0.048	-1.020	0.160	4.517	2.014	-0.671	-82.27	-3.25	137.16	4.802	15.680	-8.428	0.28821	-0.22192	-0.62775	0.68814	26.1	13111	100
2025-5-11 11:7:19.44	WTBenchPress#5(CEA7A127C8E8)	0.048	-1.019	0.161	4.761	2.136	-0.671	-82.16	-3.25	137.15	4.802	15.680	-8.428	0.28821	-0.22192	-0.62775	0.68814	26.1	13111	100
2025-5-11 11:7:19.75	WTBenchPress#5(CEA7A127C8E8)	0.049	-1.017	0.163	4.700	2.197	-0.610	-82.05	-3.25	137.14	4.802	15.680	-8.428	0.28821	-0.22192	-0.62775	0.68814	26.1	13111	100
2025-5-11 11:7:19.75	WTBenchPress#5(CEA7A127C8E8)	0.050	-1.017	0.167	4.089	2.258	-0.610	-81.94	-3.25	137.13	4.802	15.680	-8.428	0.29315	-0.21954	-0.61774	0.69580	26.1	13111	100
2025-5-11 11:7:19.140	WTBenchPress#5(CEA7A127C8E8)	0.050	-1.019	0.170	2.625	2.258	-0.671	-81.86	-3.25	137.12	4.802	15.680	-8.428	0.29315	-0.21954	-0.61774	0.69580	26.1	13111	100
2025-5-11 11:7:19.140	WTBenchPress#5(CEA7A127C8E8)	0.052	-1.018	0.168	0.977	2.258	-0.671	-81.81	-3.25	137.11	4.802	15.680	-8.428	0.29315	-0.21954	-0.61774	0.69580	26.1	13111	100
2025-5-11 11:7:19.164	WTBenchPress#5(CEA7A127C8E8)	0.052	-1.017	0.164	0.061	2.197	-0.671	-81.79	-3.25	137.10	4.802	15.680	-8.428	0.29315	-0.21954	-0.61774	0.69580	26.1	13111	100
2025-5-11 11:7:19.164	WTBenchPress#5(CEA7A127C8E8)	0.053	-1.015	0.161	-0.244	2.197	-0.671	-81.78	-3.25	137.10	4.802	15.680	-8.428	0.29315	-0.21954	-0.61774	0.69580	26.1	13111	100
2025-5-11 11:7:19.192	WTBenchPress#5(CEA7A127C8E8)	0.054	-1.019	0.163	-0.366	2.197	-0.671	-81.77	-3.25	137.09	4.802	15.680	-8.428	0.29315	-0.21954	-0.61774	0.69580	26.1	13111	100
2025-5-11 11:7:19.192	WTBenchPress#5(CEA7A127C8E8)	0.055	-1.018	0.163	-0.488	2.136	-0.671	-81.76	-3.25	137.09	4.802	15.680	-8.428	0.29315	-0.21954	-0.61774	0.69580	26.1	13111	100
2025-5-11 11:7:19.283	WTBenchPress#5(CEA7A127C8E8)	0.055	-1.017	0.163	-0.916	2.014	-0.671	-81.77	-3.25	137.09	4.802	15.680	-8.428	0.29315	-0.21954	-0.61774	0.69580	26.1	13111	100
2025-5-11 11:7:19.283	WTBenchPress#5(CEA7A127C8E8)	0.055	-1.019	0.165	-1.709	1.892	-0.549	-81.78	-3.25	137.10	4.802	15.680	-8.428	0.29315	-0.21954	-0.61774	0.69580	26.1	13111	100
2025-5-11 11:7:19.283	WTBenchPress#5(CEA7A127C8E8)	0.055	-1.015	0.165	-2.563	1.831	-0.549	-81.80	-3.25	137.10	4.900	15.288	-9.506	0.29315	-0.21954	-0.61774	0.69580	26.1	13111	100
