time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-11 12:2:48.273	WTBenchPress#5(CEA7A127C8E8)	0.044	-1.011	0.175	-0.305	-0.122	0.000	-79.96	-2.49	144.44	3.920	19.894	-9.898	0.24728	-0.18030	-0.61673	0.72516	29.0	13111	100
2025-5-11 12:2:48.273	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.012	0.173	-0.427	-0.061	0.000	-79.97	-2.49	144.44	3.920	19.894	-9.898	0.24728	-0.18030	-0.61673	0.72516	29.0	13111	100
2025-5-11 12:2:48.303	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.012	0.172	-0.610	-0.122	0.000	-79.99	-2.49	144.44	3.920	19.894	-9.996	0.24728	-0.18030	-0.61673	0.72516	29.0	13111	100
2025-5-11 12:2:48.303	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.014	0.172	-0.244	-0.061	0.000	-80.00	-2.49	144.44	3.920	19.894	-9.996	0.24728	-0.18030	-0.61673	0.72516	29.0	13111	100
2025-5-11 12:2:48.332	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.011	0.173	-0.183	-0.122	0.000	-80.01	-2.49	144.44	3.920	19.894	-9.996	0.24728	-0.18030	-0.61673	0.72516	29.0	13111	100
2025-5-11 12:2:48.332	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.014	0.173	0.061	-0.061	0.000	-80.01	-2.49	144.45	3.920	19.894	-9.996	0.24728	-0.18030	-0.61673	0.72516	29.0	13111	100
2025-5-11 12:2:48.393	WTBenchPress#5(CEA7A127C8E8)	0.044	-1.014	0.173	-0.366	-0.122	0.000	-80.02	-2.49	144.45	3.920	19.894	-9.996	0.24728	-0.18030	-0.61673	0.72516	29.0	13111	100
2025-5-11 12:2:48.393	WTBenchPress#5(CEA7A127C8E8)	0.044	-1.010	0.175	-0.366	-0.122	0.000	-80.03	-2.49	144.45	3.920	19.894	-9.996	0.24728	-0.18030	-0.61673	0.72516	29.0	13111	100
2025-5-11 12:2:48.454	WTBenchPress#5(CEA7A127C8E8)	0.044	-1.010	0.175	-0.488	-0.122	0.000	-80.04	-2.49	144.45	3.920	19.894	-9.996	0.24728	-0.18030	-0.61673	0.72516	29.0	13111	100
2025-5-11 12:2:48.454	WTBenchPress#5(CEA7A127C8E8)	0.044	-1.014	0.171	-0.366	-0.122	0.000	-80.05	-2.49	144.45	3.920	19.894	-9.996	0.24728	-0.18030	-0.61673	0.72516	29.0	13111	100
2025-5-11 12:2:48.455	WTBenchPress#5(CEA7A127C8E8)	0.044	-1.011	0.173	-0.427	-0.122	0.000	-80.06	-2.49	144.46	3.920	19.894	-9.996	0.24728	-0.18030	-0.61673	0.72516	29.0	13111	100
2025-5-11 12:2:48.455	WTBenchPress#5(CEA7A127C8E8)	0.044	-1.010	0.172	0.183	-0.061	0.000	-80.07	-2.49	144.46	3.920	19.894	-9.996	0.24728	-0.18030	-0.61673	0.72516	29.0	13111	100
2025-5-11 12:2:48.513	WTBenchPress#5(CEA7A127C8E8)	0.043	-1.014	0.173	0.000	-0.061	0.000	-80.07	-2.49	144.46	3.920	19.894	-9.996	0.24692	-0.18036	-0.61749	0.72464	29.0	13111	100
2025-5-11 12:2:48.513	WTBenchPress#5(CEA7A127C8E8)	0.044	-1.012	0.175	-0.061	-0.061	0.000	-80.07	-2.49	144.46	3.920	19.894	-9.996	0.24692	-0.18036	-0.61749	0.72464	29.0	13111	100
2025-5-11 12:2:48.543	WTBenchPress#5(CEA7A127C8E8)	0.044	-1.011	0.175	-0.305	-0.061	0.000	-80.08	-2.49	144.46	3.920	19.894	-9.996	0.24692	-0.18036	-0.61749	0.72464	29.0	13111	100
2025-5-11 12:2:48.544	WTBenchPress#5(CEA7A127C8E8)	0.043	-1.012	0.174	-0.427	-0.061	0.000	-80.08	-2.49	144.46	3.920	19.894	-9.996	0.24692	-0.18036	-0.61749	0.72464	29.0	13111	100
2025-5-11 12:2:48.572	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.016	0.176	-0.916	-0.122	0.000	-80.10	-2.49	144.46	3.920	19.894	-9.996	0.24692	-0.18036	-0.61749	0.72464	29.0	13111	100
2025-5-11 12:2:48.573	WTBenchPress#5(CEA7A127C8E8)	0.043	-1.008	0.175	-0.916	-0.061	0.000	-80.12	-2.49	144.46	3.920	19.894	-9.996	0.24692	-0.18036	-0.61749	0.72464	29.0	13111	100
2025-5-11 12:2:48.635	WTBenchPress#5(CEA7A127C8E8)	0.045	-1.008	0.170	-0.916	-0.061	0.000	-80.14	-2.49	144.47	3.920	19.894	-9.996	0.24692	-0.18036	-0.61749	0.72464	29.0	13111	100
2025-5-11 12:2:48.635	WTBenchPress#5(CEA7A127C8E8)	0.046	-1.010	0.153	0.366	0.000	0.000	-80.15	-2.49	144.47	3.920	19.894	-9.996	0.24692	-0.18036	-0.61749	0.72464	29.0	13111	100
2025-5-11 12:2:48.665	WTBenchPress#5(CEA7A127C8E8)	0.047	-1.022	0.161	4.333	0.061	0.000	-80.11	-2.49	144.46	3.920	19.894	-9.996	0.24692	-0.18036	-0.61749	0.72464	29.0	13111	100
2025-5-11 12:2:48.665	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.021	0.172	5.676	0.122	0.305	-80.01	-2.49	144.44	3.822	19.894	-9.898	0.24692	-0.18036	-0.61749	0.72464	29.0	13111	100
2025-5-11 12:2:48.695	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.010	0.190	4.456	0.061	0.366	-79.91	-2.48	144.43	3.822	19.894	-9.898	0.24692	-0.18036	-0.61749	0.72464	29.0	13111	100
