time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-11 11:8:53.994	WTBenchPress#5(CEA7A127C8E8)	0.041	-1.023	0.100	-0.549	-0.671	0.000	-86.05	-2.38	136.29	5.390	17.346	-7.742	0.28528	-0.23953	-0.63834	0.67352	26.7	13111	100
2025-5-11 11:8:53.995	WTBenchPress#5(CEA7A127C8E8)	0.041	-1.024	0.100	-0.488	-0.671	0.000	-86.04	-2.38	136.29	5.390	17.346	-7.742	0.28528	-0.23953	-0.63834	0.67352	26.7	13111	100
2025-5-11 11:8:54.24	WTBenchPress#5(CEA7A127C8E8)	0.041	-1.024	0.100	-0.305	-0.610	0.000	-86.03	-2.38	136.29	5.390	17.346	-7.742	0.28528	-0.23953	-0.63834	0.67352	26.7	13111	100
2025-5-11 11:8:54.24	WTBenchPress#5(CEA7A127C8E8)	0.041	-1.023	0.099	-0.183	-0.610	0.000	-86.02	-2.38	136.29	5.390	17.346	-7.742	0.28528	-0.23953	-0.63834	0.67352	26.7	13111	100
2025-5-11 11:8:54.54	WTBenchPress#5(CEA7A127C8E8)	0.041	-1.023	0.100	-0.061	-0.610	0.000	-86.00	-2.38	136.29	5.390	17.346	-7.742	0.28528	-0.23953	-0.63834	0.67352	26.7	13111	100
2025-5-11 11:8:54.54	WTBenchPress#5(CEA7A127C8E8)	0.041	-1.023	0.099	0.061	-0.610	0.000	-85.98	-2.38	136.29	5.390	17.346	-7.742	0.28528	-0.23953	-0.63834	0.67352	26.7	13111	100
2025-5-11 11:8:54.114	WTBenchPress#5(CEA7A127C8E8)	0.041	-1.023	0.100	0.122	-0.549	0.000	-85.96	-2.38	136.29	5.390	17.346	-7.742	0.28528	-0.23953	-0.63834	0.67352	26.7	13111	100
2025-5-11 11:8:54.115	WTBenchPress#5(CEA7A127C8E8)	0.041	-1.023	0.100	0.122	-0.610	0.000	-85.95	-2.38	136.29	5.390	17.346	-7.742	0.28528	-0.23953	-0.63834	0.67352	26.7	13111	100
2025-5-11 11:8:54.143	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.023	0.101	0.122	-0.549	0.000	-85.92	-2.38	136.29	5.390	17.346	-7.742	0.28552	-0.23950	-0.63800	0.67377	26.7	13111	100
2025-5-11 11:8:54.143	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.023	0.101	0.122	-0.488	0.000	-85.90	-2.38	136.28	5.390	17.346	-7.742	0.28552	-0.23950	-0.63800	0.67377	26.7	13111	100
2025-5-11 11:8:54.174	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.023	0.100	0.061	-0.488	0.000	-85.89	-2.38	136.27	5.390	17.346	-7.742	0.28552	-0.23950	-0.63800	0.67377	26.7	13111	100
2025-5-11 11:8:54.174	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.023	0.101	0.000	-0.488	0.000	-85.86	-2.38	136.27	5.390	17.346	-7.742	0.28552	-0.23950	-0.63800	0.67377	26.7	13111	100
2025-5-11 11:8:54.241	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.024	0.100	-0.183	-0.488	0.000	-85.85	-2.38	136.25	5.390	17.346	-7.742	0.28552	-0.23950	-0.63800	0.67377	26.7	13111	100
2025-5-11 11:8:54.241	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.023	0.101	-0.244	-0.427	0.000	-85.84	-2.38	136.24	5.390	17.346	-7.742	0.28552	-0.23950	-0.63800	0.67377	26.7	13111	100
2025-5-11 11:8:54.265	WTBenchPress#5(CEA7A127C8E8)	0.041	-1.024	0.101	-0.427	-0.427	0.000	-85.83	-2.38	136.24	5.390	17.346	-7.742	0.28552	-0.23950	-0.63800	0.67377	26.7	13111	100
2025-5-11 11:8:54.265	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.023	0.101	-0.549	-0.427	0.000	-85.82	-2.38	136.24	5.390	17.346	-7.742	0.28552	-0.23950	-0.63800	0.67377	26.7	13111	100
2025-5-11 11:8:54.297	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.022	0.101	-0.732	-0.427	0.000	-85.81	-2.38	136.23	5.390	17.346	-7.742	0.28552	-0.23950	-0.63800	0.67377	26.7	13111	100
2025-5-11 11:8:54.297	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.023	0.101	-0.854	-0.427	0.000	-85.81	-2.38	136.23	5.390	17.346	-7.742	0.28552	-0.23950	-0.63800	0.67377	26.7	13111	100
2025-5-11 11:8:54.353	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.022	0.101	-0.977	-0.366	0.000	-85.81	-2.38	136.22	5.390	17.150	-7.938	0.28552	-0.23950	-0.63800	0.67377	26.7	13111	100
2025-5-11 11:8:54.353	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.023	0.100	-1.038	-0.366	0.000	-85.82	-2.38	136.22	5.390	17.150	-7.938	0.28552	-0.23950	-0.63800	0.67377	26.7	13111	100
2025-5-11 11:8:54.383	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.024	0.099	-1.038	-0.366	0.000	-85.83	-2.38	136.21	5.390	17.150	-7.938	0.28552	-0.23950	-0.63800	0.67377	26.7	13111	100
2025-5-11 11:8:54.383	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.022	0.100	-0.854	-0.305	0.000	-85.83	-2.38	136.21	5.390	17.150	-7.938	0.28552	-0.23950	-0.63800	0.67377	26.7	13111	100
2025-5-11 11:8:54.413	WTBenchPress#5(CEA7A127C8E8)	0.042	-1.022	0.099	-0.610	-0.305	0.000	-85.83	-2.38	136.22	5.390	17.150	-7.938	0.28552	-0.23950	-0.63800	0.67377	26.7	13111	100
2025-5-11 11:8:54.413	WTBenchPress#5(CEA7A127C8E8)	0.041	-1.024	0.099	-0.610	-0.305	0.000	-85.82	-2.38	136.21	5.390	17.150	-7.938	0.28552	-0.23950	-0.63800	0.67377	26.7	13111	100
2025-5-11 11:8:54.504	WTBenchPress#5(CEA7A127C8E8)	0.041	-1.023	0.102	-0.671	-0.305	0.000	-85.81	-2.38	136.21	5.390	17.150	-7.938	0.28552	-0.23950	-0.63800	0.67377	26.7	13111	100
