time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-10 11:10:21.531	WTBenchPress#5(CEA7A127C8E8)	0.022	-1.027	-0.065	0.122	0.000	0.000	-93.78	-1.24	87.73	11.466	46.354	3.528	0.49814	-0.52118	-0.51117	0.46780	22.5	13111	100
2025-5-10 11:10:21.531	WTBenchPress#5(CEA7A127C8E8)	0.022	-1.028	-0.066	-0.366	0.000	0.000	-93.78	-1.24	87.73	11.466	46.354	3.528	0.49814	-0.52118	-0.51117	0.46780	22.5	13111	100
2025-5-10 11:10:21.596	WTBenchPress#5(CEA7A127C8E8)	0.022	-1.027	-0.068	-0.671	0.000	0.000	-93.79	-1.24	87.73	11.466	46.354	3.528	0.49814	-0.52118	-0.51117	0.46780	22.5	13111	100
2025-5-10 11:10:21.596	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.027	-0.069	-0.671	0.000	0.000	-93.80	-1.24	87.73	11.466	46.354	3.528	0.49814	-0.52118	-0.51117	0.46780	22.5	13111	100
2025-5-10 11:10:21.618	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.027	-0.071	-0.427	0.000	0.000	-93.81	-1.24	87.73	11.466	46.354	3.528	0.49814	-0.52118	-0.51117	0.46780	22.5	13111	100
2025-5-10 11:10:21.618	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.027	-0.072	0.061	0.000	0.000	-93.82	-1.24	87.73	11.466	46.354	3.528	0.49814	-0.52118	-0.51117	0.46780	22.5	13111	100
2025-5-10 11:10:21.651	WTBenchPress#5(CEA7A127C8E8)	0.022	-1.028	-0.070	0.549	0.000	0.000	-93.81	-1.24	87.73	11.466	46.354	3.528	0.49814	-0.52118	-0.51117	0.46780	22.5	13111	100
2025-5-10 11:10:21.651	WTBenchPress#5(CEA7A127C8E8)	0.022	-1.030	-0.068	0.793	0.000	0.000	-93.80	-1.24	87.73	11.466	46.354	3.528	0.49814	-0.52118	-0.51117	0.46780	22.5	13111	100
2025-5-10 11:10:21.741	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.032	-0.066	0.488	0.000	0.000	-93.78	-1.24	87.73	11.466	46.452	3.528	0.49814	-0.52118	-0.51117	0.46780	22.5	13111	100
2025-5-10 11:10:21.741	WTBenchPress#5(CEA7A127C8E8)	0.022	-1.026	-0.063	-0.305	0.000	0.000	-93.78	-1.24	87.74	11.466	46.452	3.528	0.49814	-0.52118	-0.51117	0.46780	22.5	13111	100
