time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-10 11:8:4.370	WTBenchPress#5(CEA7A127C8E8)	0.023	-1.030	-0.051	-0.854	0.000	0.000	-92.71	-1.17	85.16	11.270	45.668	3.234	0.51270	-0.52817	-0.49524	0.46130	23.0	13111	100
2025-5-10 11:8:4.370	WTBenchPress#5(CEA7A127C8E8)	0.023	-1.030	-0.053	-0.244	0.000	0.000	-92.72	-1.17	85.16	11.270	45.668	3.234	0.51270	-0.52817	-0.49524	0.46130	23.0	13111	100
2025-5-10 11:8:4.427	WTBenchPress#5(CEA7A127C8E8)	0.022	-1.027	-0.053	0.366	0.000	0.000	-92.71	-1.18	85.17	11.270	45.668	3.234	0.51315	-0.52795	-0.49481	0.46149	23.0	13111	100
2025-5-10 11:8:4.427	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.028	-0.050	0.793	0.000	0.000	-92.70	-1.18	85.17	11.270	45.668	3.234	0.51315	-0.52795	-0.49481	0.46149	23.0	13111	100
2025-5-10 11:8:4.458	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.029	-0.047	0.732	0.000	0.000	-92.69	-1.18	85.17	11.270	45.668	3.234	0.51315	-0.52795	-0.49481	0.46149	23.0	13111	100
2025-5-10 11:8:4.458	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.029	-0.046	0.183	0.000	0.000	-92.69	-1.18	85.17	11.270	45.668	3.234	0.51315	-0.52795	-0.49481	0.46149	23.0	13111	100
2025-5-10 11:8:4.516	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.027	-0.047	-0.366	0.000	0.000	-92.69	-1.18	85.16	11.270	45.668	3.234	0.51315	-0.52795	-0.49481	0.46149	23.0	13111	100
2025-5-10 11:8:4.516	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.028	-0.047	-0.793	0.000	0.000	-92.71	-1.18	85.16	11.270	45.668	3.234	0.51315	-0.52795	-0.49481	0.46149	23.0	13111	100
2025-5-10 11:8:4.547	WTBenchPress#5(CEA7A127C8E8)	0.020	-1.028	-0.050	-0.854	0.000	0.000	-92.72	-1.18	85.16	11.270	45.668	3.234	0.51315	-0.52795	-0.49481	0.46149	23.0	13111	100
2025-5-10 11:8:4.548	WTBenchPress#5(CEA7A127C8E8)	0.019	-1.030	-0.051	-0.610	0.000	0.000	-92.74	-1.18	85.15	11.270	45.668	3.234	0.51315	-0.52795	-0.49481	0.46149	23.0	13111	100
2025-5-10 11:8:4.580	WTBenchPress#5(CEA7A127C8E8)	0.019	-1.029	-0.051	-0.183	0.000	0.000	-92.74	-1.18	85.15	11.270	45.668	3.234	0.51315	-0.52795	-0.49481	0.46149	23.0	13111	100
2025-5-10 11:8:4.580	WTBenchPress#5(CEA7A127C8E8)	0.019	-1.028	-0.051	0.305	0.000	0.000	-92.74	-1.18	85.15	11.270	45.668	3.234	0.51315	-0.52795	-0.49481	0.46149	23.0	13111	100
2025-5-10 11:8:4.637	WTBenchPress#5(CEA7A127C8E8)	0.018	-1.027	-0.050	0.610	0.000	0.000	-92.72	-1.18	85.15	11.172	45.570	3.234	0.51315	-0.52795	-0.49481	0.46149	23.0	13111	100
2025-5-10 11:8:4.637	WTBenchPress#5(CEA7A127C8E8)	0.019	-1.028	-0.049	0.610	0.000	0.000	-92.71	-1.18	85.15	11.172	45.570	3.234	0.51315	-0.52795	-0.49481	0.46149	23.0	13111	100
