time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-10 11:17:8.965	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.028	-0.061	0.549	0.122	0.000	-93.66	-1.23	87.43	11.956	46.942	3.332	0.49954	-0.52206	-0.50958	0.46704	21.8	13111	100
2025-5-10 11:17:8.965	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.028	-0.061	0.671	0.183	0.000	-93.65	-1.23	87.42	11.956	46.942	3.332	0.49954	-0.52206	-0.50958	0.46704	21.8	13111	100
2025-5-10 11:17:9.24	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.028	-0.061	0.854	0.183	0.000	-93.63	-1.23	87.41	11.956	46.942	3.332	0.49954	-0.52206	-0.50958	0.46704	21.8	13111	100
2025-5-10 11:17:9.24	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.028	-0.061	0.916	0.183	0.000	-93.61	-1.23	87.41	11.956	46.942	3.332	0.49954	-0.52206	-0.50958	0.46704	21.8	13111	100
2025-5-10 11:17:9.57	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.028	-0.061	1.099	0.183	0.000	-93.59	-1.23	87.40	11.956	46.942	3.332	0.49954	-0.52206	-0.50958	0.46704	21.8	13111	100
2025-5-10 11:17:9.57	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.028	-0.061	1.099	0.183	0.000	-93.56	-1.23	87.40	11.956	46.942	3.332	0.49954	-0.52206	-0.50958	0.46704	21.8	13111	100
2025-5-10 11:17:9.86	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.029	-0.062	1.160	0.183	0.000	-93.54	-1.23	87.39	11.956	46.942	3.332	0.49954	-0.52206	-0.50958	0.46704	21.8	13111	100
2025-5-10 11:17:9.86	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.028	-0.062	1.221	0.183	0.000	-93.51	-1.22	87.39	11.956	47.040	3.430	0.49954	-0.52206	-0.50958	0.46704	21.8	13111	100
2025-5-10 11:17:9.206	WTBenchPress#5(CEA7A127C8E8)	0.021	-1.029	-0.061	1.282	0.183	0.000	-93.48	-1.22	87.39	11.956	47.040	3.430	0.49954	-0.52206	-0.50958	0.46704	21.8	13111	100
2025-5-10 11:17:9.206	WTBenchPress#5(CEA7A127C8E8)	0.022	-1.028	-0.061	1.343	0.183	0.000	-93.46	-1.22	87.39	11.956	47.040	3.430	0.49954	-0.52206	-0.50958	0.46704	21.8	13111	100
