time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-17 10:46:19.975	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.030	0.007	0.000	0.000	0.000	-89.53	1.15	55.82	34.594	74.480	21.756	0.62402	-0.62561	-0.32327	0.33850	24.0	13111	30
2025-5-17 10:46:19.976	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.030	0.007	0.000	0.000	0.000	-89.53	1.15	55.82	34.594	74.480	21.756	0.62402	-0.62561	-0.32327	0.33850	24.0	13111	30
2025-5-17 10:46:20.5	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.031	0.009	0.000	0.000	0.000	-89.53	1.15	55.82	34.594	74.480	21.756	0.62402	-0.62561	-0.32327	0.33850	24.0	13111	30
2025-5-17 10:46:20.5	WTBenchPress#5(CEA7A127C8E8)	-0.019	-1.030	0.009	0.000	0.000	0.000	-89.53	1.15	55.82	34.594	74.480	21.756	0.62402	-0.62561	-0.32327	0.33850	24.0	13111	30
2025-5-17 10:46:20.35	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.030	0.007	0.000	0.000	0.000	-89.53	1.15	55.82	34.594	74.480	21.756	0.62402	-0.62561	-0.32327	0.33850	24.0	13111	30
2025-5-17 10:46:20.35	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.029	0.008	0.000	0.000	0.000	-89.53	1.15	55.82	34.594	74.480	21.756	0.62402	-0.62561	-0.32327	0.33850	24.0	13111	30
2025-5-17 10:46:20.96	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.009	0.000	0.000	0.000	-89.53	1.15	55.82	34.594	74.480	21.756	0.62402	-0.62561	-0.32327	0.33850	24.0	13111	30
2025-5-17 10:46:20.96	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.030	0.009	0.000	0.000	0.000	-89.53	1.15	55.82	34.594	74.480	21.756	0.62402	-0.62561	-0.32327	0.33850	24.0	13111	30
2025-5-17 10:46:20.125	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.030	0.009	0.000	0.000	0.000	-89.53	1.15	55.83	34.594	74.480	21.756	0.62399	-0.62555	-0.32333	0.33856	24.0	13111	30
2025-5-17 10:46:20.125	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.009	0.000	0.000	0.000	-89.53	1.15	55.83	34.594	74.480	21.756	0.62399	-0.62555	-0.32333	0.33856	24.0	13111	30
2025-5-17 10:46:20.156	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.029	0.008	0.000	0.000	0.000	-89.53	1.15	55.83	34.594	74.480	21.756	0.62399	-0.62555	-0.32333	0.33856	24.0	13111	30
2025-5-17 10:46:20.156	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.030	0.008	0.000	0.000	0.000	-89.53	1.15	55.83	34.594	74.480	21.756	0.62399	-0.62555	-0.32333	0.33856	24.0	13111	30
2025-5-17 10:46:20.216	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.030	0.008	0.000	0.000	0.000	-89.53	1.15	55.83	34.594	74.480	21.756	0.62399	-0.62555	-0.32333	0.33856	24.0	13111	30
2025-5-17 10:46:20.216	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.029	0.008	0.000	0.000	0.000	-89.53	1.15	55.83	34.594	74.480	21.756	0.62399	-0.62555	-0.32333	0.33856	24.0	13111	30
2025-5-17 10:46:20.248	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.030	0.009	0.000	0.000	0.000	-89.53	1.15	55.83	34.594	74.480	21.756	0.62399	-0.62555	-0.32333	0.33856	24.0	13111	30
2025-5-17 10:46:20.248	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.008	0.000	0.000	0.000	-89.53	1.15	55.83	34.594	74.480	21.756	0.62399	-0.62555	-0.32333	0.33856	24.0	13111	30
2025-5-17 10:46:20.306	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.030	0.009	0.000	0.000	0.000	-89.53	1.15	55.84	34.594	74.480	21.756	0.62399	-0.62555	-0.32333	0.33856	24.0	13111	30
2025-5-17 10:46:20.306	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.008	0.000	0.000	0.000	-89.53	1.15	55.84	34.594	74.480	21.756	0.62399	-0.62555	-0.32333	0.33856	24.0	13111	30
2025-5-17 10:46:20.335	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.029	0.008	0.000	0.000	0.000	-89.53	1.15	55.84	34.594	74.480	21.756	0.62399	-0.62555	-0.32333	0.33856	24.0	13111	30
2025-5-17 10:46:20.335	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.030	0.007	0.000	0.000	0.000	-89.53	1.15	55.84	34.594	74.480	21.756	0.62399	-0.62555	-0.32333	0.33856	24.0	13111	30
2025-5-17 10:46:20.366	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.030	0.009	0.000	0.000	0.000	-89.53	1.15	55.84	34.692	74.382	21.854	0.62399	-0.62555	-0.32333	0.33856	24.0	13111	30
2025-5-17 10:46:20.366	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.030	0.008	0.000	0.000	0.000	-89.53	1.15	55.84	34.692	74.382	21.854	0.62399	-0.62555	-0.32333	0.33856	24.0	13111	30
2025-5-17 10:46:20.395	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.030	0.009	0.000	0.000	0.000	-89.53	1.15	55.84	34.692	74.382	21.854	0.62399	-0.62555	-0.32333	0.33856	24.0	13111	30
2025-5-17 10:46:20.396	WTBenchPress#5(CEA7A127C8E8)	-0.019	-1.030	0.008	0.000	0.000	0.000	-89.53	1.15	55.84	34.692	74.382	21.854	0.62399	-0.62555	-0.32333	0.33856	24.0	13111	30
2025-5-17 10:46:20.455	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.008	0.000	0.000	0.000	-89.53	1.15	55.84	34.692	74.382	21.854	0.62399	-0.62555	-0.32333	0.33856	24.0	13111	30
2025-5-17 10:46:20.455	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.030	0.008	0.000	0.000	0.000	-89.53	1.15	55.85	34.692	74.382	21.854	0.62399	-0.62555	-0.32333	0.33856	24.0	13111	30
2025-5-17 10:46:20.485	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.008	0.000	0.000	0.000	-89.53	1.15	55.85	34.692	74.382	21.854	0.62399	-0.62555	-0.32333	0.33856	24.0	13111	30
2025-5-17 10:46:20.485	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.029	0.009	0.000	0.000	0.000	-89.53	1.15	55.85	34.692	74.382	21.854	0.62399	-0.62555	-0.32333	0.33856	24.0	13111	30
2025-5-17 10:46:20.543	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.030	0.009	0.000	0.000	0.000	-89.53	1.15	55.85	34.692	74.382	21.854	0.62399	-0.62555	-0.32333	0.33856	24.0	13111	30
2025-5-17 10:46:20.543	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.030	0.008	0.000	0.000	0.000	-89.53	1.15	55.85	34.692	74.382	21.854	0.62393	-0.62546	-0.32349	0.33871	24.0	13111	30
