time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-17 10:47:45.564	WTBenchPress#5(CEA7A127C8E8)	-0.017	-1.030	0.008	0.671	-0.610	-0.671	-89.96	0.97	46.72	32.046	73.794	27.636	0.64984	-0.65308	-0.26962	0.28000	24.0	13111	30
2025-5-17 10:47:45.564	WTBenchPress#5(CEA7A127C8E8)	-0.017	-1.031	0.004	0.122	0.000	-0.122	-89.96	0.96	46.74	32.046	73.794	27.636	0.64984	-0.65308	-0.26962	0.28000	24.0	13111	30
2025-5-17 10:47:45.594	WTBenchPress#5(CEA7A127C8E8)	-0.019	-1.030	0.003	0.000	0.000	-0.061	-89.95	0.96	46.76	32.046	73.794	27.636	0.64984	-0.65308	-0.26962	0.28000	24.0	13111	30
2025-5-17 10:47:45.594	WTBenchPress#5(CEA7A127C8E8)	-0.018	-1.030	0.005	0.000	0.000	0.000	-89.95	0.96	46.77	32.046	73.794	27.636	0.64984	-0.65308	-0.26962	0.28000	24.0	13111	30
2025-5-17 10:47:45.625	WTBenchPress#5(CEA7A127C8E8)	-0.016	-1.030	0.004	0.000	0.000	0.000	-89.95	0.96	46.79	32.046	73.794	27.636	0.64984	-0.65308	-0.26962	0.28000	24.0	13111	30
2025-5-17 10:47:45.625	WTBenchPress#5(CEA7A127C8E8)	-0.016	-1.031	0.004	0.000	0.000	0.000	-89.94	0.96	46.81	32.046	73.794	27.636	0.64984	-0.65308	-0.26962	0.28000	24.0	13111	30
2025-5-17 10:47:45.684	WTBenchPress#5(CEA7A127C8E8)	-0.018	-1.030	0.003	0.000	0.000	0.000	-89.94	0.96	46.82	32.046	73.794	27.636	0.64679	-0.65082	-0.27542	0.28656	24.0	13111	30
2025-5-17 10:47:45.684	WTBenchPress#5(CEA7A127C8E8)	-0.018	-1.030	0.002	0.000	0.000	0.000	-89.93	0.96	46.84	32.046	73.794	27.636	0.64679	-0.65082	-0.27542	0.28656	24.0	13111	30
2025-5-17 10:47:45.715	WTBenchPress#5(CEA7A127C8E8)	-0.017	-1.030	0.004	0.000	0.000	0.000	-89.93	0.96	46.86	32.046	73.794	27.636	0.64679	-0.65082	-0.27542	0.28656	24.0	13111	30
2025-5-17 10:47:45.715	WTBenchPress#5(CEA7A127C8E8)	-0.017	-1.031	0.005	0.000	0.000	0.000	-89.93	0.96	46.87	32.046	73.794	27.636	0.64679	-0.65082	-0.27542	0.28656	24.0	13111	30
2025-5-17 10:47:45.744	WTBenchPress#5(CEA7A127C8E8)	-0.015	-1.030	0.005	0.000	0.000	0.000	-89.93	0.96	46.89	32.046	73.794	27.636	0.64679	-0.65082	-0.27542	0.28656	24.0	13111	30
2025-5-17 10:47:45.744	WTBenchPress#5(CEA7A127C8E8)	-0.015	-1.031	0.004	-0.427	-0.183	0.427	-89.93	0.96	46.91	32.046	73.794	27.636	0.64679	-0.65082	-0.27542	0.28656	24.0	13111	30
2025-5-17 10:47:45.805	WTBenchPress#5(CEA7A127C8E8)	-0.017	-1.030	0.005	-0.244	-1.465	0.244	-89.94	0.97	46.94	32.046	73.794	27.636	0.64679	-0.65082	-0.27542	0.28656	24.0	13111	30
2025-5-17 10:47:45.806	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.030	0.004	0.061	-6.042	-0.061	-89.93	0.97	47.05	32.046	73.794	27.636	0.64679	-0.65082	-0.27542	0.28656	24.0	13111	30
2025-5-17 10:47:45.835	WTBenchPress#5(CEA7A127C8E8)	-0.017	-1.030	0.001	0.366	-0.488	-0.366	-89.92	0.96	47.11	32.046	73.794	27.636	0.64679	-0.65082	-0.27542	0.28656	24.0	13111	30
2025-5-17 10:47:45.835	WTBenchPress#5(CEA7A127C8E8)	-0.017	-1.031	0.005	0.122	0.122	-0.183	-89.92	0.96	47.12	32.438	73.794	27.538	0.64679	-0.65082	-0.27542	0.28656	24.0	13111	30
2025-5-17 10:47:45.864	WTBenchPress#5(CEA7A127C8E8)	-0.018	-1.030	0.003	-0.183	0.000	0.183	-89.92	0.96	47.13	32.438	73.794	27.538	0.64679	-0.65082	-0.27542	0.28656	24.0	13111	30
2025-5-17 10:47:45.864	WTBenchPress#5(CEA7A127C8E8)	-0.036	-1.030	0.003	0.000	0.000	0.000	-89.92	0.96	47.15	32.438	73.794	27.538	0.64679	-0.65082	-0.27542	0.28656	24.0	13111	30
2025-5-17 10:47:45.924	WTBenchPress#5(CEA7A127C8E8)	-0.024	-1.031	-0.030	0.000	-1.160	0.061	-89.92	0.96	47.18	32.438	73.794	27.538	0.64679	-0.65082	-0.27542	0.28656	24.0	13111	30
2025-5-17 10:47:45.924	WTBenchPress#5(CEA7A127C8E8)	-0.003	-1.032	-0.145	0.244	-60.425	0.793	-89.91	0.97	48.11	32.438	73.794	27.538	0.64679	-0.65082	-0.27542	0.28656	24.0	13111	30
2025-5-17 10:47:45.955	WTBenchPress#5(CEA7A127C8E8)	-0.052	-1.033	-0.011	1.099	-26.733	0.244	-89.90	0.98	48.85	32.438	73.794	27.538	0.64679	-0.65082	-0.27542	0.28656	24.0	13111	30
2025-5-17 10:47:45.955	WTBenchPress#5(CEA7A127C8E8)	-0.004	-1.028	0.075	1.038	3.845	-0.732	-89.89	0.97	48.93	32.438	73.794	27.538	0.64679	-0.65082	-0.27542	0.28656	24.0	13111	30
2025-5-17 10:47:45.985	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.031	0.019	-0.549	-16.479	0.244	-89.90	0.98	49.27	32.438	73.794	27.538	0.64679	-0.65082	-0.27542	0.28656	24.0	13111	30
2025-5-17 10:47:45.985	WTBenchPress#5(CEA7A127C8E8)	-0.015	-1.033	-0.011	-3.479	-12.024	2.686	-89.97	1.03	49.51	32.438	73.794	27.538	0.64679	-0.65082	-0.27542	0.28656	24.0	13111	30
2025-5-17 10:47:46.44	WTBenchPress#5(CEA7A127C8E8)	-0.014	-1.028	0.011	-0.916	-23.132	0.427	-89.98	1.04	49.97	32.438	73.794	27.538	0.64679	-0.65082	-0.27542	0.28656	24.0	13111	30
2025-5-17 10:47:46.45	WTBenchPress#5(CEA7A127C8E8)	-0.046	-1.031	0.003	-1.404	-24.109	1.282	-90.01	1.07	50.44	32.438	73.794	27.538	0.64679	-0.65082	-0.27542	0.28656	24.0	13111	30
2025-5-17 10:47:46.75	WTBenchPress#5(CEA7A127C8E8)	-0.043	-1.036	-0.063	-1.892	-12.573	0.854	-90.04	1.09	50.69	32.438	73.794	27.538	0.63583	-0.64212	-0.29675	0.30862	24.0	13111	30
2025-5-17 10:47:46.75	WTBenchPress#5(CEA7A127C8E8)	-0.027	-1.042	-0.115	-10.498	12.268	3.662	-90.27	1.16	50.45	32.438	73.794	27.538	0.63583	-0.64212	-0.29675	0.30862	24.0	13111	30
2025-5-17 10:47:46.105	WTBenchPress#5(CEA7A127C8E8)	-0.030	-1.053	-0.057	-18.738	11.353	-3.296	-90.67	1.10	50.25	32.438	73.794	27.538	0.63583	-0.64212	-0.29675	0.30862	24.0	13111	30
2025-5-17 10:47:46.105	WTBenchPress#5(CEA7A127C8E8)	-0.032	-1.059	-0.085	-41.077	20.325	-5.920	-91.52	0.98	49.86	32.438	73.794	27.538	0.63583	-0.64212	-0.29675	0.30862	24.0	13111	30
2025-5-17 10:47:46.164	WTBenchPress#5(CEA7A127C8E8)	-0.055	-1.014	-0.147	-42.969	17.883	-3.357	-92.40	0.91	49.54	32.438	73.794	27.538	0.63583	-0.64212	-0.29675	0.30862	24.0	13111	30
2025-5-17 10:47:46.164	WTBenchPress#5(CEA7A127C8E8)	-0.092	-1.052	-0.167	-39.185	-0.671	-4.700	-93.19	0.82	49.60	32.438	73.794	27.538	0.63583	-0.64212	-0.29675	0.30862	24.0	13111	30
2025-5-17 10:47:46.197	WTBenchPress#5(CEA7A127C8E8)	-0.041	-1.065	-0.203	-68.176	6.592	-7.935	-94.58	0.67	49.53	32.438	73.794	27.538	0.63583	-0.64212	-0.29675	0.30862	24.0	13111	30
2025-5-17 10:47:46.198	WTBenchPress#5(CEA7A127C8E8)	-0.012	-0.991	-0.192	-81.177	1.282	-11.719	-96.21	0.46	49.57	32.438	73.794	27.538	0.63583	-0.64212	-0.29675	0.30862	24.0	13111	30
2025-5-17 10:47:46.255	WTBenchPress#5(CEA7A127C8E8)	-0.031	-0.935	-0.160	-33.752	-9.155	-10.925	-96.89	0.29	49.83	32.438	73.794	27.538	0.63583	-0.64212	-0.29675	0.30862	24.0	13111	30
2025-5-17 10:47:46.255	WTBenchPress#5(CEA7A127C8E8)	-0.018	-0.979	-0.150	7.568	-27.588	-5.249	-96.74	0.27	50.44	32.438	73.794	27.538	0.63583	-0.64212	-0.29675	0.30862	24.0	13111	30
2025-5-17 10:47:46.284	WTBenchPress#5(CEA7A127C8E8)	-0.042	-1.011	-0.096	26.245	-24.353	0.671	-96.22	0.36	50.96	31.654	71.736	30.478	0.63583	-0.64212	-0.29675	0.30862	24.0	13111	30
2025-5-17 10:47:46.285	WTBenchPress#5(CEA7A127C8E8)	-0.060	-1.002	-0.191	34.729	-16.174	0.000	-95.55	0.41	51.32	31.654	71.736	30.478	0.63583	-0.64212	-0.29675	0.30862	24.0	13111	30
2025-5-17 10:47:46.315	WTBenchPress#5(CEA7A127C8E8)	-0.022	-1.074	-0.281	14.343	-8.911	7.019	-95.30	0.58	51.54	31.654	71.736	30.478	0.63583	-0.64212	-0.29675	0.30862	24.0	13111	30
2025-5-17 10:47:46.315	WTBenchPress#5(CEA7A127C8E8)	-0.053	-1.084	-0.248	-36.133	-0.061	-5.798	-96.07	0.48	51.64	31.654	71.736	30.478	0.63583	-0.64212	-0.29675	0.30862	24.0	13111	30
2025-5-17 10:47:46.375	WTBenchPress#5(CEA7A127C8E8)	-0.027	-1.056	-0.164	-74.524	-9.216	4.211	-97.60	0.60	51.88	31.654	71.736	30.478	0.63583	-0.64212	-0.29675	0.30862	24.0	13111	30
2025-5-17 10:47:46.375	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.010	-0.145	-88.928	-21.973	-6.409	-99.38	0.56	52.38	31.654	71.736	30.478	0.63583	-0.64212	-0.29675	0.30862	24.0	13111	30
2025-5-17 10:47:46.404	WTBenchPress#5(CEA7A127C8E8)	0.037	-1.028	-0.290	-60.547	-70.496	-12.634	-100.66	0.48	53.53	31.654	71.736	30.478	0.63583	-0.64212	-0.29675	0.30862	24.0	13111	30
2025-5-17 10:47:46.404	WTBenchPress#5(CEA7A127C8E8)	0.089	-1.081	-0.220	-105.469	-68.115	-23.499	-102.08	0.47	54.99	31.654	71.736	30.478	0.63583	-0.64212	-0.29675	0.30862	24.0	13111	30
2025-5-17 10:47:46.442	WTBenchPress#5(CEA7A127C8E8)	0.089	-1.041	-0.146	-140.991	-60.181	-26.428	-104.33	0.30	56.40	31.654	71.736	30.478	0.63583	-0.64212	-0.29675	0.30862	24.0	13111	30
2025-5-17 10:47:46.442	WTBenchPress#5(CEA7A127C8E8)	0.071	-0.977	-0.203	-127.136	-58.411	-12.573	-107.01	0.18	57.65	31.654	71.736	30.478	0.63583	-0.64212	-0.29675	0.30862	24.0	13111	30
2025-5-17 10:47:46.495	WTBenchPress#5(CEA7A127C8E8)	0.010	-0.985	-0.275	-86.304	-61.340	-3.784	-109.25	0.34	58.80	31.654	71.736	30.478	0.49261	-0.71405	-0.40604	0.28723	24.0	13111	30
2025-5-17 10:47:46.495	WTBenchPress#5(CEA7A127C8E8)	-0.015	-0.981	-0.316	-72.205	-61.523	3.662	-110.79	0.70	59.92	31.654	71.736	30.478	0.49261	-0.71405	-0.40604	0.28723	24.0	13111	30
2025-5-17 10:47:46.524	WTBenchPress#5(CEA7A127C8E8)	-0.033	-1.011	-0.371	-64.087	-75.378	17.395	-112.07	1.27	61.02	31.654	71.736	30.478	0.49261	-0.71405	-0.40604	0.28723	24.0	13111	30
2025-5-17 10:47:46.524	WTBenchPress#5(CEA7A127C8E8)	-0.007	-0.969	-0.353	-75.500	-81.726	22.034	-113.27	2.17	62.25	31.654	71.736	30.478	0.49261	-0.71405	-0.40604	0.28723	24.0	13111	30
2025-5-17 10:47:46.554	WTBenchPress#5(CEA7A127C8E8)	0.038	-0.914	-0.306	-83.862	-78.369	4.639	-114.65	3.10	63.52	31.654	71.736	30.478	0.49261	-0.71405	-0.40604	0.28723	24.0	13111	30
