time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-17 10:32:17.618	WTBenchPress#5(CEA7A127C8E8)	-0.024	-1.030	0.015	0.000	0.000	0.000	-89.15	1.39	55.56	34.692	75.460	22.540	0.62613	-0.62494	-0.31946	0.33951	24.3	13111	30
2025-5-17 10:32:17.618	WTBenchPress#5(CEA7A127C8E8)	-0.026	-1.029	0.014	0.000	0.000	0.000	-89.15	1.39	55.56	34.692	75.460	22.540	0.62613	-0.62494	-0.31946	0.33951	24.3	13111	30
2025-5-17 10:32:17.647	WTBenchPress#5(CEA7A127C8E8)	-0.024	-1.030	0.014	0.000	0.000	0.000	-89.15	1.39	55.56	34.692	75.460	22.540	0.62613	-0.62494	-0.31946	0.33948	24.3	13111	30
2025-5-17 10:32:17.648	WTBenchPress#5(CEA7A127C8E8)	-0.024	-1.030	0.014	0.000	0.000	0.000	-89.15	1.39	55.56	34.692	75.460	22.540	0.62613	-0.62494	-0.31946	0.33948	24.3	13111	30
2025-5-17 10:32:17.678	WTBenchPress#5(CEA7A127C8E8)	-0.026	-1.029	0.014	0.000	0.000	0.000	-89.15	1.39	55.56	34.692	75.460	22.540	0.62613	-0.62494	-0.31946	0.33948	24.3	13111	30
2025-5-17 10:32:17.678	WTBenchPress#5(CEA7A127C8E8)	-0.027	-1.030	0.015	0.000	0.000	0.000	-89.15	1.39	55.56	34.692	75.460	22.540	0.62613	-0.62494	-0.31946	0.33948	24.3	13111	30
2025-5-17 10:32:17.738	WTBenchPress#5(CEA7A127C8E8)	-0.029	-1.030	0.015	0.366	0.000	0.000	-89.15	1.39	55.56	34.692	75.460	22.540	0.62613	-0.62494	-0.31946	0.33948	24.3	13111	30
2025-5-17 10:32:17.738	WTBenchPress#5(CEA7A127C8E8)	0.002	-1.030	0.009	5.066	0.061	-4.089	-89.10	1.35	55.55	34.692	75.460	22.540	0.62613	-0.62494	-0.31946	0.33948	24.3	13111	30
2025-5-17 10:32:17.769	WTBenchPress#5(CEA7A127C8E8)	-0.063	-1.031	0.024	-7.813	-0.305	6.409	-89.13	1.37	55.54	34.692	75.460	22.540	0.62613	-0.62494	-0.31946	0.33948	24.3	13111	30
2025-5-17 10:32:17.769	WTBenchPress#5(CEA7A127C8E8)	-0.057	-1.029	0.057	-0.549	-15.808	0.366	-89.20	1.43	55.69	34.692	75.460	22.540	0.62613	-0.62494	-0.31946	0.33948	24.3	13111	30
2025-5-17 10:32:17.799	WTBenchPress#5(CEA7A127C8E8)	0.000	-1.026	0.122	2.014	0.366	-1.526	-89.18	1.42	55.81	34.692	75.460	22.540	0.62613	-0.62494	-0.31946	0.33948	24.3	13111	30
2025-5-17 10:32:17.799	WTBenchPress#5(CEA7A127C8E8)	-0.017	-1.031	-0.079	2.380	5.005	-4.395	-89.13	1.36	55.70	34.692	75.460	22.540	0.62613	-0.62494	-0.31946	0.33948	24.3	13111	30
2025-5-17 10:32:17.858	WTBenchPress#5(CEA7A127C8E8)	-0.019	-1.031	-0.002	0.061	-11.353	-0.793	-89.11	1.32	55.83	34.692	75.362	22.442	0.62613	-0.62494	-0.31946	0.33948	24.3	13111	30
2025-5-17 10:32:17.858	WTBenchPress#5(CEA7A127C8E8)	0.003	-1.035	0.027	0.061	-0.244	-2.136	-89.11	1.29	55.88	34.692	75.362	22.442	0.62613	-0.62494	-0.31946	0.33948	24.3	13111	30
2025-5-17 10:32:17.888	WTBenchPress#5(CEA7A127C8E8)	-0.064	-1.073	0.038	7.507	5.188	-19.226	-89.00	0.99	55.78	34.692	75.362	22.442	0.62613	-0.62494	-0.31946	0.33948	24.3	13111	30
2025-5-17 10:32:17.888	WTBenchPress#5(CEA7A127C8E8)	-0.273	-1.375	0.065	32.593	-6.226	-40.466	-88.47	0.29	55.81	34.692	75.362	22.442	0.62613	-0.62494	-0.31946	0.33948	24.3	13111	30
2025-5-17 10:32:17.919	WTBenchPress#5(CEA7A127C8E8)	-0.082	-6.689	0.473	-4.028	6.836	21.790	-88.37	0.43	55.71	34.692	75.362	22.442	0.62613	-0.62494	-0.31946	0.33948	24.3	13111	30
2025-5-17 10:32:17.919	WTBenchPress#5(CEA7A127C8E8)	-0.108	-1.797	0.147	-20.203	11.719	37.109	-88.67	1.12	55.45	34.692	75.362	22.442	0.62613	-0.62494	-0.31946	0.33948	24.3	13111	30
2025-5-17 10:32:17.978	WTBenchPress#5(CEA7A127C8E8)	-0.139	-1.841	0.097	22.522	-2.563	49.561	-88.41	2.05	55.40	34.692	75.362	22.442	0.62613	-0.62494	-0.31946	0.33948	24.3	13111	30
2025-5-17 10:32:17.978	WTBenchPress#5(CEA7A127C8E8)	-0.185	-1.991	0.083	46.021	-0.732	54.749	-87.59	3.11	55.41	34.692	75.362	22.442	0.62613	-0.62494	-0.31946	0.33948	24.3	13111	30
