time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-17 10:30:31.958	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.022	0.000	0.000	0.000	-88.75	1.07	62.55	38.906	71.442	17.542	0.60745	-0.60114	-0.35727	0.37665	24.2	13111	30
2025-5-17 10:30:31.958	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.022	0.000	0.000	0.000	-88.75	1.07	62.55	38.906	71.442	17.542	0.60745	-0.60114	-0.35727	0.37665	24.2	13111	30
2025-5-17 10:30:31.988	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.022	0.000	0.000	0.000	-88.75	1.07	62.54	38.906	71.442	17.542	0.60745	-0.60114	-0.35727	0.37665	24.2	13111	30
2025-5-17 10:30:31.988	WTBenchPress#5(CEA7A127C8E8)	-0.017	-1.029	0.022	0.000	0.000	0.000	-88.75	1.07	62.53	38.906	71.442	17.542	0.60745	-0.60114	-0.35727	0.37665	24.2	13111	30
2025-5-17 10:30:32.17	WTBenchPress#5(CEA7A127C8E8)	-0.018	-1.030	0.021	0.000	0.000	0.000	-88.75	1.07	62.53	38.906	71.442	17.542	0.60745	-0.60114	-0.35727	0.37665	24.2	13111	30
2025-5-17 10:30:32.18	WTBenchPress#5(CEA7A127C8E8)	-0.021	-1.030	0.021	0.000	0.000	0.000	-88.75	1.07	62.52	38.906	71.442	17.542	0.60745	-0.60114	-0.35727	0.37665	24.2	13111	30
2025-5-17 10:30:32.78	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.023	0.000	0.000	0.000	-88.75	1.07	62.52	38.906	71.442	17.542	0.60745	-0.60114	-0.35727	0.37665	24.2	13111	30
2025-5-17 10:30:32.78	WTBenchPress#5(CEA7A127C8E8)	-0.017	-1.029	0.022	0.000	0.000	0.000	-88.75	1.07	62.52	38.906	71.442	17.542	0.60745	-0.60114	-0.35727	0.37665	24.2	13111	30
2025-5-17 10:30:32.108	WTBenchPress#5(CEA7A127C8E8)	-0.019	-1.029	0.022	0.000	0.000	0.000	-88.75	1.07	62.51	38.906	71.442	17.542	0.60745	-0.60114	-0.35727	0.37665	24.2	13111	30
2025-5-17 10:30:32.108	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.023	0.000	0.000	0.000	-88.75	1.07	62.51	38.906	71.442	17.542	0.60745	-0.60114	-0.35727	0.37665	24.2	13111	30
2025-5-17 10:30:32.139	WTBenchPress#5(CEA7A127C8E8)	-0.018	-1.030	0.023	0.000	0.000	0.000	-88.75	1.07	62.50	38.906	71.442	17.542	0.60745	-0.60114	-0.35727	0.37665	24.2	13111	30
2025-5-17 10:30:32.139	WTBenchPress#5(CEA7A127C8E8)	-0.019	-1.029	0.021	0.000	0.000	0.000	-88.75	1.07	62.50	39.004	71.344	17.444	0.60745	-0.60114	-0.35727	0.37665	24.2	13111	30
