time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-17 10:48:14.247	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.014	0.000	0.000	0.000	-89.15	1.05	55.39	36.750	73.696	23.422	0.62766	-0.62439	-0.32043	0.33676	24.0	13111	30
2025-5-17 10:48:14.247	WTBenchPress#5(CEA7A127C8E8)	-0.019	-1.030	0.014	0.000	0.000	0.000	-89.15	1.05	55.39	36.750	73.696	23.422	0.62766	-0.62439	-0.32043	0.33676	24.0	13111	30
2025-5-17 10:48:14.274	WTBenchPress#5(CEA7A127C8E8)	-0.019	-1.029	0.016	0.000	0.000	0.000	-89.15	1.05	55.39	36.750	73.696	23.422	0.62766	-0.62439	-0.32043	0.33676	24.0	13111	30
2025-5-17 10:48:14.274	WTBenchPress#5(CEA7A127C8E8)	-0.019	-1.030	0.016	0.000	0.000	0.000	-89.15	1.05	55.39	36.750	73.696	23.422	0.62766	-0.62439	-0.32043	0.33676	24.0	13111	30
2025-5-17 10:48:14.304	WTBenchPress#5(CEA7A127C8E8)	-0.019	-1.030	0.015	0.000	0.000	0.000	-89.15	1.05	55.39	36.750	73.696	23.422	0.62766	-0.62439	-0.32043	0.33676	24.0	13111	30
2025-5-17 10:48:14.304	WTBenchPress#5(CEA7A127C8E8)	-0.019	-1.030	0.013	0.000	0.000	0.000	-89.15	1.05	55.39	36.750	73.696	23.422	0.62766	-0.62439	-0.32043	0.33676	24.0	13111	30
2025-5-17 10:48:14.365	WTBenchPress#5(CEA7A127C8E8)	-0.019	-1.030	0.014	0.000	0.000	0.000	-89.15	1.05	55.39	36.750	73.696	23.422	0.62766	-0.62439	-0.32043	0.33676	24.0	13111	30
2025-5-17 10:48:14.366	WTBenchPress#5(CEA7A127C8E8)	-0.020	-1.030	0.016	0.000	0.000	0.000	-89.15	1.05	55.39	36.750	73.696	23.422	0.62766	-0.62439	-0.32043	0.33676	24.0	13111	30
2025-5-17 10:48:14.395	WTBenchPress#5(CEA7A127C8E8)	-0.018	-1.030	0.017	0.000	0.000	0.000	-89.15	1.05	55.39	36.750	73.696	23.422	0.62766	-0.62439	-0.32043	0.33676	24.0	13111	30
2025-5-17 10:48:14.396	WTBenchPress#5(CEA7A127C8E8)	-0.018	-1.031	0.017	0.000	0.000	0.000	-89.15	1.05	55.39	36.750	73.696	23.422	0.62766	-0.62439	-0.32043	0.33676	24.0	13111	30
2025-5-17 10:48:14.424	WTBenchPress#5(CEA7A127C8E8)	-0.019	-1.030	0.014	0.000	0.000	0.000	-89.15	1.05	55.39	36.750	73.696	23.422	0.62766	-0.62439	-0.32043	0.33676	24.0	13111	30
2025-5-17 10:48:14.424	WTBenchPress#5(CEA7A127C8E8)	-0.019	-1.029	0.012	0.000	0.000	0.000	-89.15	1.05	55.39	36.750	73.696	23.422	0.62766	-0.62439	-0.32043	0.33676	24.0	13111	30
